,DQA1_101,DQA1_102,DQA1_103,DQA1_104,DQA1_201,DQA1_301,DQA1_302,DQA1_303,DQA1_401,DQA1_501,DQA1_503,DQA1_505,DQA1_509,DQA1_601
HC0,,,,,,,,,,,,,,
HC1,,,,,,,,,,,,0.0,,
HC2,,,,,,,,,,,,,,
HC4,,,,,,,,,,,,,,
HC5,,,,,,,,,,,,,0.0,
HC6,,,,,,,,,,,,,,
HC7,,,,,,,,,,,,,,
HC8,,,,,,,,,,,,,,
HC9,,,,,0.0,,,,,,,,,
