,DPA1_103,DPA1_104,DPA1_105,DPA1_201,DPA1_202,DPA1_301
HC0,,,0.0,,,
HC1,,,,,,
HC2,,,,,,
HC4,,,,,0.0,
HC5,,,,,,
HC6,,,,,,
HC7,,,,,,
HC8,,,,,,
HC9,,,,,,
