,DQB1_201,DQB1_202,DQB1_301,DQB1_302,DQB1_303,DQB1_304,DQB1_401,DQB1_402,DQB1_501,DQB1_502,DQB1_503,DQB1_504,DQB1_601,DQB1_602,DQB1_603,DQB1_604,DQB1_605,DQB1_609
HC0,,,,,,,,,,,,,,,,,,
HC1,,,,,,,,,,,,,0.0,,,,,
HC2,,,,,,,,,,,,,,,,,,
HC4,,,,,,,0.0,,,,,,,0.032,,,,
HC5,0.039,,,,,,,,,,,,,,,,,
HC6,,,,,,,,,,,,,,,,,,
HC7,,,,,,,,,0.0,,,,,,,,,
HC8,,,,,,,,,,,,,,,,,,
HC9,,,,,,,,,,,,0.0,0.039,,,,,
