phenotype,Allelotype_pair,estimate_add1,se_add1,z_add1,p_add1,estimate_add2,se_add2,z_add2,p_add2,estimate_int,se_int,z_int,p_int,adj_p_add1,adj_p_add2,adj_p_int
HC303,DPB1_101-DQB1_301,1.249742,0.042239,29.587,2.00E-16,-0.883763,0.06804,-12.989,2.00E-16,-0.587536,0.171754,-3.421,0.000624,4.06E-15,2.97E-14,0.118568703
HC303,DPB1_101-DQA1_301,1.265996,0.042998,29.443,2.00E-16,-0.733167,0.059443,-12.334,2.00E-16,-0.500245,0.138041,-3.624,0.00029,4.06E-15,2.97E-14,0.063364591
HC303,DPB1_101-DQA1_101,1.214782,0.042784,28.393,2.00E-16,-0.97287,0.078372,-12.414,2.00E-16,0.260212,0.134436,1.936,0.0529,4.06E-15,2.97E-14,1
HC303,DPB1_101-DQB1_501,1.232405,0.042494,29.002,2.00E-16,-0.932311,0.083647,-11.146,2.00E-16,0.228903,0.143791,1.592,0.111,4.06E-15,2.97E-14,1
HC303,DPB1_101-DRB1_401,1.281131,0.041796,30.652,2.00E-16,-0.783899,0.084146,-9.316,2.00E-16,-0.635861,0.216392,-2.938,0.0033,4.06E-15,2.97E-14,0.416423943
HC303,DPB1_101-DRB4_9901,1.153051,0.120398,9.577,2.00E-16,0.352874,0.042031,8.396,2.00E-16,0.065549,0.071361,0.919,0.358,4.06E-15,2.97E-14,1
HC303,DPB1_101-DRB4_101,1.345979,0.046334,29.049,2.00E-16,0.601772,0.057207,10.519,2.00E-16,-0.230051,0.088548,-2.598,0.00938,4.06E-15,2.97E-14,0.880812394
HC303,DPB1_101-DQA1_102,1.240854,0.044499,27.885,2.00E-16,-0.442982,0.054962,-8.06,7.64E-16,0.033352,0.105758,0.315,0.752,4.06E-15,1.04E-13,1
HC303,DPB1_101-B_4402,1.284271,0.042273,30.38,2.00E-16,-0.633054,0.076764,-8.247,2.00E-16,-0.285087,0.158938,-1.794,0.0729,4.06E-15,2.97E-14,1
HC303,DPB1_101-A_201,1.22384,0.049021,24.965,2.00E-16,-0.419289,0.046972,-8.926,2.00E-16,0.111382,0.075725,1.471,0.1413,4.06E-15,2.97E-14,1
HC303,DPB1_101-DQB1_303,1.275801,0.040911,31.185,2.00E-16,-1.505813,0.16941,-8.889,2.00E-16,-0.592998,0.429073,-1.382,0.167,4.06E-15,2.97E-14,1
HC303,DPB1_101-DRB1_101,1.244118,0.042277,29.428,2.00E-16,-0.841646,0.092589,-9.09,2.00E-16,0.298001,0.155868,1.912,0.0559,4.06E-15,2.97E-14,1
HC303,DPB1_101-DRB5_9901,1.198491,0.224486,5.339,9.36E-08,0.382857,0.059438,6.441,1.18E-10,0.028713,0.117963,0.243,0.808,1.21E-06,6.98E-09,1
HC303,DPB1_101-DPB1_401,1.288481,0.05262,24.486,2.00E-16,-0.076716,0.039253,-1.954,0.0507,-0.044303,0.081661,-0.543,0.5875,4.06E-15,0.583046239,1
HC303,DPB1_101-B_702,1.289892,0.043701,29.517,2.00E-16,-0.389014,0.060697,-6.409,1.46E-10,-0.154049,0.11511,-1.338,0.181,4.06E-15,8.50E-09,1
HC303,DPB1_101-DRB5_101,1.269721,0.043523,29.174,2.00E-16,-0.350746,0.060238,-5.823,5.79E-09,-0.044539,0.120433,-0.37,0.712,4.06E-15,2.50E-07,1
HC303,DPB1_101-DRB1_1501,1.267978,0.043576,29.098,2.00E-16,-0.358456,0.060607,-5.914,3.33E-09,-0.005664,0.119672,-0.047,0.962,4.06E-15,1.50E-07,1
HC303,DPB1_101-C_702,1.289912,0.044141,29.223,2.00E-16,-0.342338,0.057838,-5.919,3.24E-09,-0.107961,0.107299,-1.006,0.314,4.06E-15,1.47E-07,1
HC303,DPB1_101-DQB1_602,1.264704,0.043544,29.044,2.00E-16,-0.367569,0.0616,-5.967,2.42E-09,0.023829,0.120678,0.197,0.843,4.06E-15,1.13E-07,1
HC303,DPB1_101-DQA1_103,1.286412,0.041323,31.131,2.00E-16,-0.745926,0.115439,-6.462,1.04E-10,-0.299408,0.253697,-1.18,0.2379,4.06E-15,6.21E-09,1
HC303,DPB1_101-C_501,1.290017,0.042794,30.145,2.00E-16,-0.393061,0.068489,-5.739,9.52E-09,-0.170015,0.136217,-1.248,0.212,4.06E-15,3.97E-07,1
HC303,DPB1_101-DPB1_1101,1.304877,0.04225,30.885,2.00E-16,0.681871,0.085596,7.966,1.64E-15,0.53856,0.168305,3.2,0.00137,4.06E-15,2.13E-13,0.219489782
HC303,DPB1_101-C_401,1.283207,0.042216,30.397,2.00E-16,-0.512672,0.083893,-6.111,9.90E-10,-0.04197,0.155599,-0.27,0.7874,4.06E-15,4.94E-08,1
HC303,DPB1_101-DRB1_1301,1.290235,0.041265,31.267,2.00E-16,-0.723412,0.119358,-6.061,1.35E-09,-0.306238,0.261199,-1.172,0.241,4.06E-15,6.58E-08,1
HC303,DPB1_101-B_5701,1.294982,0.041043,31.552,2.00E-16,-0.963183,0.151847,-6.343,2.25E-10,-0.395347,0.320208,-1.235,0.217,4.06E-15,1.26E-08,1
HC303,DPB1_101-DRB3_202,1.292225,0.043281,29.857,2.00E-16,-0.285656,0.061709,-4.629,3.67E-06,-0.221662,0.132374,-1.675,0.094,4.06E-15,8.27E-05,1
HC303,DPB1_101-DQB1_603,1.287822,0.041397,31.109,2.00E-16,-0.703935,0.118403,-5.945,2.76E-09,-0.210146,0.248808,-0.845,0.3983,4.06E-15,1.27E-07,1
HC303,DPB1_101-B_3501,1.29109,0.041261,31.291,2.00E-16,-0.763525,0.130833,-5.836,5.35E-09,-0.224048,0.260466,-0.86,0.3897,4.06E-15,2.33E-07,1
HC303,DPB1_101-DQB1_302,1.315843,0.042444,31.002,2.00E-16,-0.272696,0.06815,-4.001,6.30E-05,-0.418525,0.151355,-2.765,0.00569,4.06E-15,0.001026763,0.630833255
HC303,DPB1_101-C_602,1.274079,0.042752,29.802,2.00E-16,-0.471511,0.07959,-5.924,3.14E-09,0.124113,0.132519,0.937,0.349,4.06E-15,1.43E-07,1
HC303,DPB1_101-C_303,1.283878,0.041634,30.837,2.00E-16,-0.515066,0.103144,-4.994,5.92E-07,-0.083929,0.204111,-0.411,0.6809,4.06E-15,1.65E-05,1
HC303,DPB1_101-DPB1_201,1.289052,0.042594,30.264,2.00E-16,-0.201108,0.069156,-2.908,0.00364,-0.30397,0.17277,-1.759,0.07851,4.06E-15,0.045937984,1
HC303,DPB1_101-C_304,1.2808,0.042658,30.025,2.00E-16,-0.440767,0.08347,-5.281,1.29E-07,0.128586,0.138401,0.929,0.3528,4.06E-15,4.24E-06,1
HC303,DPB1_101-DQB1_202,1.354463,0.048239,28.078,2.00E-16,0.579512,0.08868,6.535,6.37E-11,-0.222306,0.153445,-1.449,0.147,4.06E-15,3.97E-09,1
HC303,DPB1_101-B_1501,1.287945,0.041955,30.698,2.00E-16,-0.425637,0.094908,-4.485,7.30E-06,-0.001594,0.173952,-0.009,0.9927,4.06E-15,0.000151768,1
HC303,DPB1_101-DQB1_503,1.284659,0.040924,31.391,2.00E-16,-1.055433,0.210291,-5.019,5.20E-07,0.408691,0.363312,1.125,0.2606,4.06E-15,1.47E-05,1
HC303,DPB1_101-DRB1_103,1.291316,0.040816,31.637,2.00E-16,-1.227475,0.267765,-4.584,4.56E-06,-1.405666,1.016602,-1.383,0.167,4.06E-15,0.000100044,1
HC303,DPB1_101-A_2402,1.287099,0.042517,30.273,2.00E-16,-0.373508,0.085691,-4.359,1.31E-05,0.030079,0.144025,0.209,0.8346,4.06E-15,0.000255512,1
HC303,DPB1_101-DRB1_1302,1.285383,0.041335,31.097,2.00E-16,-0.568033,0.126896,-4.476,7.59E-06,0.161903,0.231739,0.699,0.4848,4.06E-15,0.000157128,1
HC303,DPB1_101-DRB3_301,1.284551,0.041356,31.061,2.00E-16,-0.527282,0.125047,-4.217,2.48E-05,0.147804,0.231314,0.639,0.523,4.06E-15,0.000448799,1
HC303,DPB1_101-C_1601,1.32076,0.043401,30.431,2.00E-16,0.37143,0.078485,4.732,2.22E-06,-0.217333,0.118031,-1.841,0.0656,4.06E-15,5.30E-05,1
HC303,DPB1_101-B_4403,1.324584,0.043993,30.109,2.00E-16,0.34903,0.069738,5.005,5.59E-07,-0.182506,0.108892,-1.676,0.0937,4.06E-15,1.57E-05,1
HC303,DPB1_101-DRB1_901,1.296161,0.040701,31.846,2.00E-16,-1.33527,0.316411,-4.22,2.44E-05,-1.116123,1.032308,-1.081,0.2796,4.06E-15,0.000442344,1
HC303,DPB1_101-DRB1_1401,1.288504,0.040884,31.516,2.00E-16,-0.888958,0.211615,-4.201,2.66E-05,0.2314,0.398001,0.581,0.561,4.06E-15,0.00047722,1
HC303,DPB1_101-DQB1_604,1.290976,0.041081,31.425,2.00E-16,-0.597402,0.150759,-3.963,7.41E-05,0.075249,0.290652,0.259,0.7957,4.06E-15,0.001188354,1
HC303,DPB1_101-B_5501,1.295835,0.040855,31.718,2.00E-16,-0.743255,0.199639,-3.723,0.000197,-0.41806,0.474079,-0.882,0.377866,4.06E-15,0.00291,1
HC303,DPB1_101-B_2705,1.291441,0.041516,31.107,2.00E-16,-0.462226,0.119453,-3.87,0.000109,0.089152,0.209394,0.426,0.670281,4.06E-15,0.001688963,1
HC303,DPB1_101-C_1203,1.302652,0.041096,31.698,2.00E-16,-0.459777,0.139826,-3.288,0.00101,-0.376914,0.295109,-1.277,0.20153,4.06E-15,0.013500519,1
HC303,DPB1_101-B_4001,1.282375,0.04207,30.482,2.00E-16,-0.401345,0.097436,-4.119,3.80E-05,0.167939,0.160374,1.047,0.295,4.06E-15,0.000655865,1
HC303,DPB1_101-DRB1_404,1.295821,0.041446,31.265,2.00E-16,-0.382287,0.116293,-3.287,0.00101,-0.154183,0.239867,-0.643,0.52036,4.06E-15,0.013500519,1
HC303,DPB1_101-DRB1_1101,1.29563,0.041181,31.462,2.00E-16,-0.517609,0.151724,-3.412,0.000646,-0.273994,0.345171,-0.794,0.427317,4.06E-15,0.008871502,1
HC303,DPB1_101-C_202,1.292459,0.041477,31.161,2.00E-16,-0.460226,0.123649,-3.722,0.000198,0.022788,0.213758,0.107,0.915102,4.06E-15,0.002922849,1
HC303,DPB1_101-C_704,1.302745,0.040859,31.884,2.00E-16,-0.718436,0.202752,-3.543,0.000395,-0.511695,0.432139,-1.184,0.236374,4.06E-15,0.005584311,1
HC303,DPB1_101-DPB1_402,1.2828689,0.0429599,29.862,2.00E-16,-0.1156222,0.0641196,-1.803,0.0714,-0.0009614,0.1466907,-0.007,0.9948,4.06E-15,0.811949258,1
HC303,DPB1_101-DQB1_402,1.298439,0.040951,31.707,2.00E-16,-0.579047,0.175562,-3.298,0.000973,-0.209289,0.3548,-0.59,0.555272,4.06E-15,0.013046317,1
HC303,DPB1_101-C_102,1.294041,0.041379,31.273,2.00E-16,-0.382554,0.122459,-3.124,0.00178,0.011775,0.221538,0.053,0.95761,4.06E-15,0.023169765,1
HC303,DPB1_101-DQA1_401,1.298732,0.040945,31.719,2.00E-16,-0.522274,0.173172,-3.016,0.00256,-0.230304,0.3556,-0.648,0.51721,4.06E-15,0.032813192,1
HC303,DPB1_101-DPB1_901,1.301585,0.040834,31.875,2.00E-16,1.152371,0.237149,4.859,1.18E-06,-0.443587,0.634598,-0.699,0.4845,4.06E-15,3.06E-05,1
HC303,DPB1_101-B_5101,1.269393,0.041721,30.426,2.00E-16,-0.558477,0.129618,-4.309,1.64E-05,0.560471,0.185672,3.019,0.00254,4.06E-15,0.000311019,0.341342196
HC303,DPB1_101-DQA1_201,1.338723,0.047489,28.19,2.00E-16,0.217272,0.049565,4.384,1.17E-05,-0.118163,0.079467,-1.487,0.137,4.06E-15,0.000231299,1
HC303,DPB1_101-B_3701,1.290079,0.040903,31.54,2.00E-16,-0.843595,0.246094,-3.428,0.000608,0.419256,0.41191,1.018,0.308756,4.06E-15,0.008371145,1
HC303,DPB1_101-DRB1_701,1.339986,0.047426,28.255,2.00E-16,0.215627,0.049545,4.352,1.35E-05,-0.118424,0.07946,-1.49,0.1361,4.06E-15,0.000262266,1
HC303,DRB3_9901-A_101,-0.793295,0.045366,-17.487,2.00E-16,0.690231,0.048961,14.098,2.00E-16,-0.075046,0.047837,-1.569,0.1167,4.06E-15,2.97E-14,1
HC303,DRB3_9901-DPA1_201,-0.912149,0.041708,-21.87,2.00E-16,0.729351,0.053099,13.736,2.00E-16,-0.042512,0.051203,-0.83,0.406,4.06E-15,2.97E-14,1
HC303,DRB3_9901-DPA1_103,-0.963422,0.076079,-12.663,2.00E-16,-0.598699,0.051829,-11.551,2.00E-16,0.011698,0.049143,0.238,0.812,4.06E-15,2.97E-14,1
HC303,DRB3_9901-DRB4_103,-0.818882,0.036759,-22.277,2.00E-16,-0.706205,0.143107,-4.935,8.02E-07,0.096242,0.092873,1.036,0.3,4.06E-15,2.17E-05,1
HC303,DRB3_9901-DQB1_301,-1.128706,0.034063,-33.135,2.00E-16,-1.626551,0.102157,-15.922,2.00E-16,0.454313,0.090117,5.041,4.62E-07,4.06E-15,2.97E-14,0.00024826
HC303,DRB3_9901-DQA1_301,-0.892684,0.035375,-25.235,2.00E-16,-0.997973,0.160922,-6.202,5.59E-10,0.346234,0.100261,3.453,0.000554,4.06E-15,2.92E-08,0.108774099
HC303,DRB3_9901-DQA1_101,-0.926895,0.033811,-27.414,2.00E-16,-0.771011,0.130288,-5.918,3.26E-09,0.030607,0.099157,0.309,0.758,4.06E-15,1.47E-07,1
HC303,DRB3_9901-DQB1_501,-0.885837,0.033625,-26.344,2.00E-16,0.205946,0.19582,1.052,0.292933,-0.544943,0.143781,-3.79,0.000151,4.06E-15,1,0.037685666
HC303,DRB3_9901-DRB1_401,-0.933915,0.033582,-27.81,2.00E-16,-1.357042,0.248649,-5.458,4.82E-08,0.53232,0.152057,3.501,0.000464,4.06E-15,1.75E-06,0.094063249
HC303,DRB3_9901-DRB4_9901,-1.980922,0.112244,-17.648,2.00E-16,-0.906641,0.088523,-10.242,2.00E-16,0.489349,0.061851,7.912,2.54E-15,4.06E-15,2.97E-14,4.20E-12
HC303,DRB3_9901-DRB4_101,-1.064262,0.03769,-28.238,2.00E-16,3.029339,0.145865,20.768,2.00E-16,-1.477276,0.122734,-12.036,2.00E-16,4.06E-15,2.97E-14,3.57E-13
HC303,DRB3_9901-DQA1_102,-0.950752,0.035991,-26.416,2.00E-16,-0.364003,0.084665,-4.299,1.71E-05,-0.003968,0.069318,-0.057,0.954,4.06E-15,0.000322551,1
HC303,DRB3_9901-B_4402,-0.996581,0.033604,-29.656,2.00E-16,-0.885608,0.116404,-7.608,2.78E-14,0.172199,0.097185,1.772,0.0764,4.06E-15,3.03E-12,1
HC303,DRB3_9901-A_201,-1.005609,0.039089,-25.726,2.00E-16,-0.429856,0.065246,-6.588,4.45E-11,0.080149,0.056372,1.422,0.155,4.06E-15,2.85E-09,1
HC303,DRB3_9901-DQB1_303,-0.932241,0.032077,-29.062,2.00E-16,-1.384905,0.459371,-3.015,0.00257,0.0638,0.304878,0.209,0.83424,4.06E-15,0.032937609,1
HC303,DRB3_9901-DRB1_101,-0.920661,0.033378,-27.583,2.00E-16,0.299464,0.221955,1.349,0.17727,-0.519514,0.161631,-3.214,0.00131,4.06E-15,1,0.213222958
HC303,DRB3_9901-DRB5_9901,-2.633738,0.200666,-13.125,2.00E-16,-1.078271,0.132023,-8.167,3.15E-16,0.873758,0.104282,8.379,2.00E-16,4.06E-15,4.54E-14,3.57E-13
HC303,DRB3_9901-DPB1_401,-0.887095,0.047478,-18.684,2.00E-16,-0.104559,0.053617,-1.95,0.0512,-0.111192,0.04842,-2.296,0.0217,4.06E-15,0.588735917,1
HC303,DRB3_9901-B_702,-0.928631,0.035102,-26.455,2.00E-16,-0.042354,0.098091,-0.432,0.6659,-0.179353,0.079022,-2.27,0.0232,4.06E-15,1,1
HC303,DRB3_9901-DRB5_101,-0.896371,0.035544,-25.219,2.00E-16,1.489159,0.153813,9.682,2.00E-16,-1.14772,0.124006,-9.255,2.00E-16,4.06E-15,2.97E-14,3.57E-13
HC303,DRB3_9901-DRB1_1501,-0.897956,0.035572,-25.243,2.00E-16,1.413624,0.149806,9.436,2.00E-16,-1.090487,0.120164,-9.075,2.00E-16,4.06E-15,2.97E-14,3.57E-13
HC303,DRB3_9901-C_702,-0.929607,0.035536,-26.159,2.00E-16,0.013028,0.091473,0.142,0.8867,-0.1857,0.074523,-2.492,0.0127,4.06E-15,1,1
HC303,DRB3_9901-DQB1_602,-0.894812,0.035411,-25.269,2.00E-16,1.197799,0.138088,8.674,2.00E-16,-0.948772,0.110207,-8.609,2.00E-16,4.06E-15,2.97E-14,3.57E-13
HC303,DRB3_9901-DQA1_103,-1.095174,0.032368,-33.836,2.00E-16,-1.287182,0.125888,-10.225,2.00E-16,-0.609527,0.225454,-2.704,0.00686,4.06E-15,2.97E-14,0.71735081
HC303,DRB3_9901-C_501,-0.992065,0.034092,-29.1,2.00E-16,-0.531258,0.096674,-5.495,3.90E-08,0.032482,0.08658,0.375,0.708,4.06E-15,1.45E-06,1
HC303,DRB3_9901-DPB1_1101,-1.011187,0.033408,-30.268,2.00E-16,1.345774,0.145717,9.236,2.00E-16,-0.32942,0.11553,-2.851,0.00435,4.06E-15,2.97E-14,0.512097482
HC303,DRB3_9901-C_401,-0.986477,0.033334,-29.593,2.00E-16,-0.598573,0.133503,-4.484,7.34E-06,0.133424,0.105911,1.26,0.208,4.06E-15,0.000152515,1
HC303,DRB3_9901-DRB1_1301,-1.104633,0.03234,-34.157,2.00E-16,-1.274587,0.12561,-10.147,2.00E-16,-0.757246,0.247046,-3.065,0.00218,4.06E-15,2.97E-14,0.304896688
HC303,DRB3_9901-B_5701,-0.965353,0.032178,-30.001,2.00E-16,-0.724704,0.278014,-2.607,0.00914,-0.069952,0.208504,-0.335,0.73725,4.06E-15,0.111152966,1
HC303,DRB3_9901-DRB3_202,-1.364615,0.034742,-39.278,2.00E-16,-1.467423,0.080024,-18.337,2.00E-16,0.424914,0.106688,3.983,6.81E-05,4.06E-15,2.97E-14,0.019661166
HC303,DRB3_9901-DQB1_603,-1.100971,0.03243,-33.95,2.00E-16,-1.260333,0.125568,-10.037,2.00E-16,-0.67326,0.23887,-2.819,0.00482,4.06E-15,2.97E-14,0.558643847
HC303,DRB3_9901-B_3501,-0.969281,0.032399,-29.917,2.00E-16,-0.498763,0.223811,-2.229,0.0258,-0.128782,0.176148,-0.731,0.4647,4.06E-15,0.302996288,1
HC303,DRB3_9901-DQB1_302,-1.014424,0.034405,-29.484,2.00E-16,-0.389702,0.183043,-2.129,0.0333,0.281942,0.115945,2.432,0.015,4.06E-15,0.388557462,1
HC303,DRB3_9901-C_602,-0.968654,0.033763,-28.689,2.00E-16,-0.166699,0.127032,-1.312,0.189,-0.051996,0.09888,-0.526,0.599,4.06E-15,1,1
HC303,DRB3_9901-C_303,-1.023006,0.03271,-31.275,2.00E-16,-1.105251,0.157025,-7.039,1.94E-12,0.446285,0.131016,3.406,0.000658,4.06E-15,1.61E-10,0.122942115
HC303,DRB3_9901-DPB1_201,-1.049893,0.034447,-30.478,2.00E-16,-0.7311,0.102427,-7.138,9.49E-13,0.299396,0.090365,3.313,0.000922,4.06E-15,8.25E-11,0.162732399
HC303,DRB3_9901-C_304,-1.023187,0.033618,-30.435,2.00E-16,-0.752962,0.132637,-5.677,1.37E-08,0.387511,0.100677,3.849,0.000119,4.06E-15,5.55E-07,0.03093677
HC303,DRB3_9901-DQB1_202,-1.096947,0.039331,-27.89,2.00E-16,2.046453,0.192755,10.617,2.00E-16,-0.811592,0.156319,-5.192,2.08E-07,4.06E-15,2.97E-14,0.000119795
HC303,DRB3_9901-B_1501,-1.024106,0.033107,-30.933,2.00E-16,-0.974918,0.155864,-6.255,3.98E-10,0.501065,0.118734,4.22,2.44E-05,4.06E-15,2.13E-08,0.008180065
HC303,DRB3_9901-DQB1_503,-1.032929,0.031904,-32.376,2.00E-16,-1.346245,0.215159,-6.257,3.92E-10,-0.663631,0.412879,-1.607,0.108,4.06E-15,2.10E-08,1
HC303,DRB3_9901-DRB1_103,-0.974558,0.031869,-30.58,2.00E-16,-1.747823,0.834539,-2.094,0.0362,0.452899,0.517014,0.876,0.381,4.06E-15,0.421476215,1
HC303,DRB3_9901-A_2402,-1.020976,0.033444,-30.528,2.00E-16,-0.662369,0.122664,-5.4,6.67E-08,0.275464,0.102981,2.675,0.00748,4.06E-15,2.36E-06,0.762310254
HC303,DRB3_9901-DRB1_1302,-1.060889,0.032259,-32.887,2.00E-16,-1.016878,0.130625,-7.785,6.99E-15,-0.578956,0.238527,-2.427,0.0152,4.06E-15,8.33E-13,1
HC303,DRB3_9901-DRB3_301,-1.059374,0.032267,-32.832,2.00E-16,-0.985932,0.129516,-7.612,2.69E-14,-0.563926,0.234712,-2.403,0.0163,4.06E-15,2.94E-12,1
HC303,DRB3_9901-C_1601,-1.022709,0.03396,-30.115,2.00E-16,0.893789,0.131688,6.787,1.14E-11,-0.166789,0.100492,-1.66,0.097,4.06E-15,8.24E-10,1
HC303,DRB3_9901-B_4403,-1.028533,0.03465,-29.683,2.00E-16,0.948884,0.120073,7.903,2.73E-15,-0.225989,0.091835,-2.461,0.0139,4.06E-15,3.46E-13,1
HC303,DRB3_9901-DRB1_901,-0.976921,0.031795,-30.726,2.00E-16,-1.426315,0.924101,-1.543,0.123,0.182921,0.599996,0.305,0.76,4.06E-15,1,1
HC303,DRB3_9901-DRB1_1401,-1.031558,0.031907,-32.33,2.00E-16,-1.238791,0.219958,-5.632,1.78E-08,-0.751018,0.436322,-1.721,0.0852,4.06E-15,7.04E-07,1
HC303,DRB3_9901-DQB1_604,-1.045696,0.032105,-32.571,2.00E-16,-1.107866,0.160359,-6.909,4.89E-12,-0.367834,0.274386,-1.341,0.18,4.06E-15,3.74E-10,1
HC303,DRB3_9901-B_5501,-0.994553,0.031911,-31.166,2.00E-16,-1.006114,0.270038,-3.726,0.000195,-0.101622,0.28195,-0.36,0.718529,4.06E-15,0.002882732,1
HC303,DRB3_9901-B_2705,-0.992095,0.032576,-30.455,2.00E-16,-0.507237,0.193823,-2.617,0.00887,0.158359,0.149307,1.061,0.28886,4.06E-15,0.107927888,1
HC303,DRB3_9901-C_1203,-1.003336,0.032191,-31.169,2.00E-16,-0.907107,0.205184,-4.421,9.83E-06,0.272655,0.181367,1.503,0.133,4.06E-15,0.000198096,1
HC303,DRB3_9901-B_4001,-1.016906,0.033016,-30.8,2.00E-16,-0.716549,0.147065,-4.872,1.10E-06,0.365597,0.116105,3.149,0.00164,4.06E-15,2.87E-05,0.247561252
HC303,DRB3_9901-DRB1_404,-0.990323,0.032739,-30.249,2.00E-16,-0.107618,0.309505,-0.348,0.728,0.036318,0.205376,0.177,0.86,4.06E-15,1,1
HC303,DRB3_9901-DRB1_1101,-1.095249,0.032374,-33.831,2.00E-16,-1.615223,0.210187,-7.685,1.53E-14,0.641449,0.27582,2.326,0.02,4.06E-15,1.74E-12,1
HC303,DRB3_9901-C_202,-1.010096,0.032444,-31.133,2.00E-16,-0.890624,0.180198,-4.942,7.71E-07,0.359779,0.151872,2.369,0.0178,4.06E-15,2.10E-05,1
HC303,DRB3_9901-C_704,-1.002295,0.031931,-31.389,2.00E-16,-1.107041,0.259826,-4.261,2.04E-05,0.069723,0.274028,0.254,0.799,4.06E-15,0.000377134,1
HC303,DRB3_9901-DPB1_402,-1.016727,0.03456,-29.419,2.00E-16,-0.422363,0.091127,-4.635,3.57E-06,0.135829,0.082334,1.65,0.099,4.06E-15,8.08E-05,1
HC303,DRB3_9901-DQB1_402,-0.985439,0.032059,-30.738,2.00E-16,-0.406774,0.457746,-0.889,0.374,0.082497,0.306015,0.27,0.787,4.06E-15,1,1
HC303,DRB3_9901-C_102,-0.982816,0.032429,-30.306,2.00E-16,-0.247021,0.186122,-1.327,0.184,-0.053761,0.153879,-0.349,0.727,4.06E-15,1,1
HC303,DRB3_9901-DQA1_401,-0.985963,0.032058,-30.756,2.00E-16,-0.395787,0.458521,-0.863,0.388,0.115406,0.303897,0.38,0.704,4.06E-15,1,1
HC303,DRB3_9901-DPB1_901,-0.998171,0.031931,-31.26,2.00E-16,-0.053005,0.365873,-0.145,0.8848,0.912823,0.36091,2.529,0.0114,4.06E-15,1,1
HC303,DRB3_9901-B_5101,-1.006904,0.032513,-30.969,2.00E-16,-0.735471,0.175133,-4.199,2.68E-05,0.304673,0.147202,2.07,0.0385,4.06E-15,0.000480425,1
HC303,DRB3_9901-DQA1_201,-1.046786,0.039538,-26.476,2.00E-16,2.226517,0.112204,19.844,2.00E-16,-1.107863,0.089596,-12.365,2.00E-16,4.06E-15,2.97E-14,3.57E-13
HC303,DRB3_9901-B_3701,-0.988053,0.031917,-30.957,2.00E-16,-0.804413,0.355709,-2.261,0.0237,0.095565,0.289891,0.33,0.7417,4.06E-15,0.279004835,1
HC303,DRB3_9901-DRB1_701,-1.044619,0.039516,-26.435,2.00E-16,2.266419,0.113658,19.941,2.00E-16,-1.140206,0.091055,-12.522,2.00E-16,4.06E-15,2.97E-14,3.57E-13
HC303,A_101-DPA1_201,0.823443,0.044019,18.707,2.00E-16,0.743535,0.052751,14.095,2.00E-16,-0.025673,0.051204,-0.501,0.6161,4.06E-15,2.97E-14,1
HC303,A_101-DPA1_103,0.8284444,0.0749696,11.05,2.00E-16,-0.6285125,0.0503009,-12.495,2.00E-16,0.0009951,0.0495548,0.02,0.98398,4.06E-15,2.97E-14,1
HC303,A_101-DRB4_103,0.922059,0.036164,25.497,2.00E-16,-0.665382,0.065454,-10.166,2.00E-16,-0.463505,0.081882,-5.661,1.51E-08,4.06E-15,2.97E-14,1.09E-05
HC303,A_101-DQB1_301,0.861278,0.034317,25.098,2.00E-16,-0.701541,0.076052,-9.224,2.00E-16,-0.588906,0.114345,-5.15,2.60E-07,4.06E-15,2.97E-14,0.000148224
HC303,A_101-DQA1_301,0.872591,0.03503,24.91,2.00E-16,-0.574725,0.067277,-8.543,2.00E-16,-0.492933,0.094758,-5.202,1.97E-07,4.06E-15,2.97E-14,0.000114045
HC303,A_101-DQA1_101,0.842191,0.034282,24.566,2.00E-16,-0.904418,0.091634,-9.87,2.00E-16,-0.018539,0.103976,-0.178,0.85848,4.06E-15,2.97E-14,1
HC303,A_101-DQB1_501,0.843972,0.034035,24.797,2.00E-16,-0.894085,0.098801,-9.049,2.00E-16,0.023546,0.11052,0.213,0.83129,4.06E-15,2.97E-14,1
HC303,A_101-DRB1_401,0.873566,0.033748,25.885,2.00E-16,-0.59618,0.093508,-6.376,1.82E-10,-0.63171,0.146588,-4.309,1.64E-05,4.06E-15,1.04E-08,0.00581027
HC303,A_101-DRB4_9901,0.468733,0.092386,5.074,3.90E-07,0.196418,0.049016,4.007,6.14E-05,0.242416,0.055276,4.386,1.16E-05,4.83E-06,0.001005501,0.004285447
HC303,A_101-DRB4_101,0.898166,0.036878,24.355,2.00E-16,0.618732,0.06639,9.32,2.00E-16,0.173664,0.075329,2.305,0.02114,4.06E-15,2.97E-14,1
HC303,A_101-DQA1_102,0.829726,0.036393,22.799,2.00E-16,-0.493003,0.067107,-7.346,2.04E-13,0.071251,0.074121,0.961,0.33642,4.06E-15,1.99E-11,1
HC303,A_101-B_4402,0.844966,0.033946,24.891,2.00E-16,-0.508123,0.085941,-5.912,3.37E-09,-0.239006,0.126305,-1.892,0.05845,4.06E-15,1.52E-07,1
HC303,A_101-A_201,0.785153,0.038558,20.363,2.00E-16,-0.238405,0.052483,-4.543,5.56E-06,0.217412,0.075663,2.873,0.00406,4.06E-15,0.000119303,0.484560678
