phenotype,Allelotype_pair,estimate_add1,se_add1,z_add1,p_add1,estimate_add2,se_add2,z_add2,p_add2,estimate_int,se_int,z_int,p_int,adj_p_add1,adj_p_add2,adj_p_int
HC151,DQA1_301-DQA1_103,-4.43E-01,5.39E-02,-8.225,2.00E-16,-5.27E-01,1.09E-01,-4.838,1.31E-06,-1.60E-01,3.01E-01,-0.532,0.5948,4.06E-15,3.35E-05,1
HC151,DQA1_301-C_304,-0.3755295,0.0586568,-6.402,1.53E-10,-0.1778152,0.1058941,-1.679,0.0931,-0.1230893,0.138806,-0.887,0.3752,2.31E-09,1,1
HC151,DQA1_301-DRB1_1301,-0.4464149,0.0539382,-8.276,2.00E-16,-0.5304965,0.1139998,-4.653,3.26E-06,-0.0050182,0.2924069,-0.017,0.986,4.06E-15,7.46E-05,1
HC151,DQA1_301-B_2705,-0.4435885,0.0550309,-8.061,7.58E-16,-0.6778912,0.1570292,-4.317,1.58E-05,0.4471018,0.2042507,2.189,0.0286,1.49E-14,0.000300962,1
HC151,DQA1_301-DQB1_603,-0.442403,0.054101,-8.177,2.90E-16,-0.523141,0.114096,-4.585,4.54E-06,0.015343,0.29392,0.052,0.9584,5.84E-15,9.96E-05,1
HC151,DQA1_301-C_102,-0.4370601,0.0539325,-8.104,5.33E-16,-0.629486,0.1511131,-4.166,3.10E-05,0.2170262,0.2729017,0.795,0.4265,1.06E-14,0.000547845,1
HC151,DQA1_301-DRB1_1303,-0.411304,0.0532883,-7.718,1.18E-14,0.5892862,0.1624462,3.628,0.000286,-0.2919584,0.4787,-0.61,0.541929,2.19E-13,0.004128026,1
HC151,DQA1_301-DRB3_9901,-0.579968,0.194626,-2.98,0.00288,0.301292,0.044912,6.709,1.97E-11,0.021683,0.110389,0.196,0.84428,0.030390664,1.36E-09,1
HC151,A_201-DRB1_401,-0.3587258,0.0517943,-6.926,4.33E-12,-0.6298605,0.1135191,-5.548,2.88E-08,0.2415182,0.1163033,2.077,0.0378,7.08E-11,1.10E-06,1
HC151,A_201-DQB1_301,-0.3911571,0.0545259,-7.174,7.30E-13,-0.4087134,0.0744158,-5.492,3.97E-08,0.1922246,0.0879862,2.185,0.0289,1.24E-11,1.47E-06,1
HC151,A_201-B_1801,-0.3248984,0.0478104,-6.796,1.08E-11,0.5291507,0.0951684,5.56,2.70E-08,-0.3153115,0.1681788,-1.875,0.0608,1.73E-10,1.04E-06,1
HC151,A_201-A_301,-0.3436204,0.052028,-6.605,3.99E-11,0.1461938,0.0557921,2.62,0.00878,0.1020871,0.1138517,0.897,0.3699,6.20E-10,0.106913874,1
HC151,A_201-DQB1_302,-0.323134,0.049283,-6.557,5.50E-11,-0.273926,0.087624,-3.126,0.00177,-0.178509,0.124768,-1.431,0.15251,8.51E-10,0.023050284,1
HC151,A_201-DRB1_701,-0.3589359,0.0508043,-7.065,1.61E-12,-0.3045533,0.0712257,-4.276,1.90E-05,-0.0481393,0.1077456,-0.447,0.655,2.69E-11,0.00035452,1
HC151,A_201-B_4402,-0.3798679,0.0531387,-7.149,8.77E-13,-0.4446963,0.1089452,-4.082,4.47E-05,0.2874873,0.1020775,2.816,0.00486,1.48E-11,0.000757649,0.561541377
HC151,A_201-DQA1_201,-0.362185,0.050861,-7.121,1.07E-12,-0.297506,0.070976,-4.192,2.77E-05,-0.0273,0.106371,-0.257,0.7974,1.80E-11,0.000494821,1
HC151,A_201-DQA1_101,-0.379959,0.051149,-7.428,1.10E-13,-0.324045,0.073216,-4.426,9.61E-06,0.07427,0.103175,0.72,0.4716,1.93E-12,0.000194081,1
HC151,A_201-DQA1_103,-0.362434,0.047738,-7.592,3.14E-14,-0.484269,0.129717,-3.733,0.000189,0.095244,0.167294,0.569,0.569137,5.67E-13,0.002801777,1
HC151,A_201-C_304,-0.376459,0.050126,-7.51,5.90E-14,-0.468982,0.117875,-3.979,6.93E-05,0.278674,0.121407,2.295,0.0217,1.05E-12,0.001118563,1
HC151,A_201-DRB1_1301,-0.363164,0.047636,-7.624,2.46E-14,-0.491822,0.136818,-3.595,0.000325,0.149892,0.169114,0.886,0.375435,4.47E-13,0.004652076,1
HC151,A_201-B_2705,-0.332782,0.046836,-7.105,1.20E-12,-0.312129,0.146495,-2.131,0.0331,-0.466943,0.235937,-1.979,0.0478,2.02E-11,0.386464697,1
HC151,A_201-DQB1_603,-0.3515339,0.0477432,-7.363,1.80E-13,-0.4547669,0.1353033,-3.361,0.000776,0.0965487,0.1714838,0.563,0.573422,3.13E-12,0.010544612,1
HC151,A_201-C_102,-0.335933,0.0466972,-7.194,6.30E-13,-0.3325831,0.1598035,-2.081,0.0374,-0.4298543,0.2438306,-1.763,0.0779,1.07E-11,0.434951797,1
HC151,A_201-DRB1_1303,-0.377312,0.046642,-8.09,5.99E-16,0.227224,0.203134,1.119,0.263314,0.880552,0.259325,3.396,0.000685,1.18E-14,1,0.12734459
HC151,A_201-DRB3_9901,-0.437002,0.114264,-3.824,0.000131,0.160085,0.049178,3.255,0.001133,0.044993,0.072597,0.62,0.535413,0.001427832,0.015065744,1
HC151,DRB1_401-DQB1_301,-0.4736102,0.111375,-4.252,2.11E-05,-0.2497679,0.0676455,-3.692,0.000222,0.0502276,0.1299134,0.387,0.699035,0.000237208,0.00325234,1
HC151,DRB1_401-B_1801,-0.5156289,0.0787785,-6.545,5.94E-11,0.4827204,0.0850819,5.674,1.40E-08,-0.3797348,0.3286882,-1.155,0.248,9.16E-10,5.65E-07,1
HC151,DRB1_401-A_301,-0.491689,0.0882,-5.575,2.48E-08,0.267442,0.051648,5.178,2.24E-07,-0.145786,0.154122,-0.946,0.344,3.32E-07,6.96E-06,1
