,DRB3_101,DRB3_202,DRB3_210,DRB3_224,DRB3_301,DRB3_9901
HC301,,,,,0.0,
HC302,0.068,,,,,0.159
HC303,0.0,,,,,0.192
HC304,,,,,,
HC305,,,,,,
HC306,,,,,,
HC307,,,,,,
HC308,,,,,,
HC309,,,,,,
HC310,0.0,,,,,
HC311,,,,,,
HC312,,,,,,
HC313,,,,0.0,,
HC314,,,,0.0,,
HC315,,,,,,
HC316,,,,,,
HC318,,,,,,
HC319,,,,,,
HC320,,,,,,
HC321,0.0,,,,,
HC322,,,,,0.371,
HC323,,,,,,
HC324,,,,,,
HC325,,,,,,
HC326,,,,,,0.0
HC327,,,,,,
HC328,,,,,,
HC329,,,,,,
HC330,,,,,,0.118
HC331,,,,,,
HC332,,,,,,
HC333,,,,,,
HC334,,,,,,
HC335,,,,,,
HC336,,,,,0.0,
HC337,,,,,,
HC338,,,,0.0,,
HC339,,,,,,
HC341,,,,,,
HC342,,,,,,
HC343,0.0,,,,,0.054
HC344,,,,,,
HC345,,,,,,
HC346,,0.0,,,,
HC347,,,,,,
HC348,,,,,,
HC349,,,,,,
HC350,,,,,,
HC351,,,,,,
HC352,0.0,,,,,
HC353,,,,,,
HC354,,,,,,
HC355,,,,,,
HC356,,,,,,
HC357,0.0,,,,,0.235
HC358,,,,,,
HC359,0.0,,,,,0.0
HC360,0.0,,,,,
HC361,,,,,,
HC362,,,,,,
HC363,,,,,,
HC364,,,,,,
HC365,,,,,,
HC366,,,,,,
HC367,,,,,,
HC368,,,,,,
HC369,,,,,,
HC370,0.0,,,,,
HC371,,,,,,
HC373,,,,,,
HC374,,,,,,
HC375,,,,,,
HC376,0.0,,,,,
HC377,,,,,,
HC378,,,,,,
HC379,,,,,,
HC380,,,,,,
HC381,,0.0,,,,
HC382,,,,,,
HC383,,,,,,
HC384,0.0,,,,,
HC385,0.0,,,,,
HC386,,,,,,
HC387,,,,,,
HC388,,,,,,
HC389,0.087,0.046,,,,
HC390,,,,,,
HC391,,,,,,
HC392,,,,,,
HC393,,,,,,
HC394,0.042,,,,,
HC395,0.274,,,,,
HC396,,,,,,
HC397,,,,,,
HC398,,0.545,,,,
HC399,,,,,,
HC400,0.15,,,,,
HC401,0.0,,,,,
HC402,,,,,,
HC403,0.0,,,,,
HC404,0.0,,,,,
HC406,,,0.0,,,
HC407,,,,,,
HC408,,,,,,
HC409,,,,,,
HC411,,,,,,
HC412,,,,,,
HC413,,,,,,
HC414,,,,,,
HC415,,,,,,
HC416,,,,,,
HC417,0.032,,,,,0.056
HC418,,,,,,
HC419,,,,,,
HC420,,,,,,
HC421,,0.0,,,,0.0
HC422,,,,,,
HC423,0.0,,,,,
HC424,,0.0,,,,
HC425,,,,,,
HC428,,,,,,
HC429,,,,,,
HC430,,,,,,1.0
HC431,,,,,,
HC432,,,,,,
HC433,,,,,,
HC434,,,,,,
HC435,,,,,,
HC436,,,,,,
HC437,,,,,,
HC438,0.133,,,,,
HC439,,,,,,0.0
HC440,,,,,,
HC441,,,,,,
HC442,0.0,,,,,
HC443,,,0.0,,,
HC444,,,,,,
HC445,0.204,,,,,
cancer1022,,,,,,
cancer1067,,,,,,
cancer1023,,,,,,
cancer1024,,,,,,
cancer1050,,,,,,
cancer1019,,,,,,0.303
cancer1002,,,,,,
cancer1003,,,,,,
cancer1085,,,,,,
