GBE_ID	ALL_ID	BETA	SE	Z_STAT	P	AIC	BY_ADJ_P
HC1132	B_801	1.16971457359918	0.0284868818940452	41.0615165938431	0.0	31089.7659796152	0.0
HC1132	DQA1_501	1.06324896485154	0.0272038975367817	39.08443499369721	0.0	30794.8783299417	0.0
HC1132	DQB1_201	1.36213869570856	0.0277451024711925	49.09474373442511	0.0	30408.4999817959	0.0
HC1132	DRB1_301	1.3583191796687901	0.0277399888919012	48.966103950580596	0.0	30486.266159028597	0.0
HC1132	DRB3_101	1.18016540607801	0.0276832212831431	42.631072229901	0.0	30997.039631095697	0.0
HC1159	B_5701	1.1225606685844198	0.0247077530126116	45.43353934335651	0.0	85676.459556998	0.0
HC1159	C_602	1.02521875430773	0.0185885077870942	55.1533649742194	0.0	84766.6669923547	0.0
HC1242	B_2705	2.1894535985907297	0.04815950294601999	45.4625455965524	0.0	14969.5870046649	0.0
HC303	B_801	1.46821755309025	0.030745181633725	47.754395162841796	0.0	25233.335956182098	0.0
HC303	C_701	1.29783766061184	0.0302982370939429	42.8354183310321	0.0	25660.831606508	0.0
HC303	DQA1_501	1.34243521567153	0.0301522760065722	44.5218535204085	0.0	25139.3281377986	0.0
HC303	DQB1_201	1.69505866618377	0.0304285529874025	55.7061871093748	0.0	24403.494838836203	0.0
HC303	DRB1_301	1.68879826431761	0.0303896197040569	55.571549784552296	0.0	24494.4742081142	0.0
HC303	DRB3_101	1.4825250416171203	0.0302334853541479	49.035862860373896	0.0	25101.0694847454	0.0
HC38	B_5701	1.27739768546306	0.0300655108934655	42.4871438236793	0.0	55237.8545506117	0.0
HC38	C_602	1.17868149528876	0.0230678796734007	51.0962217584258	0.0	54495.1395338308	0.0
HC422	B_2705	2.17517100226479	0.0489336014390644	44.4514799298693	0.0	14628.418699779098	0.0
HC1132	C_701	1.01909753247188	0.0278964466981099	36.531445868370206	3.5143895661881877e-292	31482.417196914703	2.8461283956029884e-287
HC303	DPB1_101	1.306208454898	0.038854999311475	33.6175132684211	9.307145838267985e-248	26387.5573494465	7.140687225621744e-243
HC868	B_2705	1.57381111996276	0.0471658320562194	33.3676106484638	4.046164161450658e-244	21194.364551920902	2.949107447157524e-239
HC303	DRB3_9901	-0.987119586471898	0.0302764902740685	-32.6035011831393	3.658423777572438e-233	26056.565459089103	2.5395210016413274e-228
HC1159	DQB1_303	0.7622083644818092	0.0245413804316389	31.058088464297	8.872224382479534e-212	86545.4603422811	5.878776215330111e-207
HC38	DQB1_303	0.878080063661082	0.0304110169774714	28.8737487572864	2.550956214620519e-183	55994.2196615996	1.6167849607945342e-178
HC1132	DPB1_101	1.07181316540304	0.0375534148487192	28.5410306817837	3.6297272699688086e-179	31962.7750296123	2.204650976390836e-174
HC1132	DRB3_9901	-0.7635640259733281	0.0269235498562515	-28.360451353929896	6.221024094228459e-177	31564.80675696	3.627429388066714e-172
HC303	A_101	0.8708919774009221	0.031084961845905	28.0165046274828	1.0227704866629497e-172	26607.543397199	5.73432009371262e-168
HC1242	C_202	1.5472401648878997	0.0568944448915037	27.194925055309895	7.457546247230627e-163	16244.148152888702	4.026329226555079e-158
HC422	C_202	1.5513558683295101	0.0576564661193088	26.9068843921042	1.8244268698815595e-159	15826.280878046398	9.49829209322217e-155
HC1159	DRB1_701	0.45116405747370797	0.0181581062141743	24.846426832855897	2.8263632919746892e-136	86641.6952811864	1.4207153687807692e-131
HC1159	DQA1_201	0.44726338284401596	0.0181932138614978	24.5840776813247	1.8698187527154695e-133	86553.6262729462	9.085636318639399e-129
HC1242	C_102	1.45802864521895	0.059477052958687	24.5141373469143	1.0440097412959997e-132	16333.8842902175	4.909304268001733e-128
HC645	DRB1_301	0.600978818583563	0.024600803781582997	24.429235073753	8.366440524960359e-132	47222.635914783	3.811253553031042e-127
HC645	DQB1_201	0.599409415719866	0.0245961436793329	24.3700566858993	3.553711116820249e-131	47142.7074161887	1.569803429150764e-126
HC303	DPA1_201	0.808817843356676	0.0333023801941598	24.2870881492885	2.6840109788411997e-130	26791.015554113197	1.1507539210719347e-125
HC38	DRB1_701	0.554516222507862	0.0229780152172951	24.1324682425351	1.1409039127042397e-128	56049.349447588	4.751799610962066e-124
HC38	DQA1_201	0.5522214366579841	0.0230089513844594	24.0002869939985	2.7616633841302592e-127	56006.886019499696	1.1182665479506613e-122
