ALL_ID	Estimate	Std. Error	z value	Pr(>|z|)	aic
A_101.(Intercept)	-5.12459461343782	0.0656631617396638	-78.0436774238105	0	27108.3006320008
A_101.as.factor(gcounts)1	0.031543128224309	0.0453784865215593	0.695111949344606	0.486985146794564	27108.3006320008
A_101.as.factor(gcounts)2	0.0630648530641556	0.108554002733293	0.580953732485573	0.561271636816437	27108.3006320008
A_101.scale(age)	0.390255454266233	0.0232729365278766	16.7686382764281	4.13885441946907e-63	27108.3006320008
A_101.sex	0.424578386127802	0.0424028544861429	10.0129670814155	1.33681924251075e-23	27108.3006320008
A_101.Array	-0.185232267748498	0.0617523992087232	-2.99959629297014	0.00270337656765584	27108.3006320008
A_101.scale(PC1)	-0.0152639635193905	0.0221530690168794	-0.689022523595274	0.490809093643148	27108.3006320008
A_101.scale(PC2)	0.00437411555344674	0.021347295875342	0.20490255904024	0.837648255815477	27108.3006320008
A_101.scale(PC3)	-0.0150887453290674	0.0217828294531521	-0.692689871236356	0.488504196853191	27108.3006320008
A_101.scale(PC4)	0.0170681370181301	0.0303776111999098	0.561865674881665	0.574207541853466	27108.3006320008
A_101.scale(PC5)	0.0514889372866694	0.0295603119376597	1.74182658813802	0.0815387927630989	27108.3006320008
A_101.scale(PC6)	-0.0123209298660562	0.0215892295784101	-0.570697987221255	0.568204383418025	27108.3006320008
A_101.scale(PC7)	-0.00614466996262754	0.0221449390121107	-0.277475135933637	0.781415295206556	27108.3006320008
A_101.scale(PC8)	-0.0271860602412458	0.0232670403261297	-1.16843654629828	0.242630720510175	27108.3006320008
A_101.scale(PC9)	0.0108013441696816	0.0214852819766444	0.502732250915913	0.615152531740119	27108.3006320008
A_101.scale(PC10)	0.0111219544497475	0.0231028326007225	0.48141085735953	0.63022452161279	27108.3006320008
A_101.scale(N_CNV)	-0.0334542564508941	0.0328324179376846	-1.01893977209932	0.308231560459736	27108.3006320008
A_101.scale(LEN_CNV)	0.0521245642744475	0.0281600626922437	1.85101023545678	0.0641680806119167	27108.3006320008
A_201.(Intercept)	-5.10915359385704	0.0669304705869347	-76.3352408709104	0	26835.1858632941
A_201.as.factor(gcounts)1	0.00939083495515156	0.0441227296007074	0.212834406215	0.831456126240092	26835.1858632941
A_201.as.factor(gcounts)2	-0.0187680150906814	0.0833628164972933	-0.22513652824207	0.82187306489838	26835.1858632941
A_201.scale(age)	0.389408688959619	0.0233717694149747	16.6614979826952	2.49691506495584e-62	26835.1858632941
A_201.sex	0.432328205019883	0.0426218434650883	10.143348336728	3.54728029880588e-24	26835.1858632941
A_201.Array	-0.190968126958486	0.0618857134596621	-3.08581926720392	0.00202992166448656	26835.1858632941
A_201.scale(PC1)	-0.0231332218196711	0.0222705817316919	-1.03873451077175	0.298928226284843	26835.1858632941
A_201.scale(PC2)	0.00309016257380903	0.0214482935293351	0.144074985246849	0.885441257493822	26835.1858632941
A_201.scale(PC3)	-0.0154660421083106	0.0218910723899204	-0.706499975553132	0.479877267916426	26835.1858632941
A_201.scale(PC4)	0.0176389056091637	0.0305328581951208	0.577702404944926	0.563465055207646	26835.1858632941
A_201.scale(PC5)	0.0502373597152918	0.0296919754685031	1.69195073492442	0.0906553672732057	26835.1858632941
A_201.scale(PC6)	-0.0112614407345011	0.0216825667687718	-0.519377657386964	0.603497408742395	26835.1858632941
A_201.scale(PC7)	-0.00246253039987459	0.0222655975965216	-0.110597992674551	0.911935139335436	26835.1858632941
A_201.scale(PC8)	-0.0309805360866931	0.0233908900373869	-1.3244701692486	0.185346943889236	26835.1858632941
A_201.scale(PC9)	0.0119547240559339	0.0216123575430536	0.553142989242109	0.580165501605778	26835.1858632941
A_201.scale(PC10)	0.00970730673036693	0.0232036004962992	0.418353467683395	0.675688702743575	26835.1858632941
A_201.scale(N_CNV)	-0.0351792635281539	0.033146001427499	-1.06134260583746	0.288534229828912	26835.1858632941
A_201.scale(LEN_CNV)	0.0531287861235228	0.028205101589162	1.88365874008899	0.0596111508374539	26835.1858632941
A_205.(Intercept)	-5.10888524570799	0.0636295455551623	-80.2910849218459	0	27139.8322495739
A_205.as.factor(gcounts)1	0.0915071878627501	0.166515735582148	0.549540783895506	0.582634384027187	27139.8322495739
A_205.as.factor(gcounts)2	-7.50043186635529	68.3593534142606	-0.109720637948436	0.912630932518667	27139.8322495739
A_205.scale(age)	0.391724912144211	0.0232723904106659	16.8321734566931	1.41799909424601e-63	27139.8322495739
A_205.sex	0.424717936316757	0.0423770324878215	10.0223614392729	1.21563139865393e-23	27139.8322495739
A_205.Array	-0.191222461391178	0.0615778780594748	-3.10537594696729	0.00190037316486482	27139.8322495739
A_205.scale(PC1)	-0.0170023946047013	0.0221412963607796	-0.767904206133965	0.442544098366722	27139.8322495739
A_205.scale(PC2)	0.00277824103423444	0.0213345738693013	0.130222476026676	0.896390412692392	27139.8322495739
A_205.scale(PC3)	-0.0145164704640725	0.0217678673872255	-0.666876097958567	0.504851279618378	27139.8322495739
A_205.scale(PC4)	0.0188208488269979	0.0303637758468872	0.619845467240442	0.535359531223279	27139.8322495739
A_205.scale(PC5)	0.0505306542798637	0.0295341979511415	1.71092014631502	0.0870958550028357	27139.8322495739
A_205.scale(PC6)	-0.0118847253857828	0.0215744505584055	-0.5508703618481	0.581722546018935	27139.8322495739
A_205.scale(PC7)	-0.00487300602043083	0.0221351738927015	-0.220147627665016	0.825756183035698	27139.8322495739
A_205.scale(PC8)	-0.0287171965882757	0.0232556440975282	-1.23484847238989	0.216886903485828	27139.8322495739
