ALL_ID	Estimate	Std. Error	z value	Pr(>|z|)	aic
A_101.(Intercept)	-3.58565058148901	0.0452566160924497	-79.2293125532029	0	44360.1533121249
A_101.as.factor(gcounts)1	-0.00559263758447178	0.031524266425384	-0.177407382268806	0.859188409081335	44360.1533121249
A_101.as.factor(gcounts)2	-0.0442493613584223	0.0793339435452805	-0.557760768984925	0.577007755067492	44360.1533121249
A_101.scale(age)	-0.395829164532395	0.014303437578757	-27.6737086698842	1.44721953021118e-168	44360.1533121249
A_101.sex	-17.9621751355151	73.0284355171141	-0.245961384881451	0.805712124752218	44360.1533121249
A_101.Array	-0.108303375249511	0.0460826727823027	-2.35019734556506	0.0187634599696736	44360.1533121249
A_101.scale(PC1)	-0.00389689436445638	0.0152291706077024	-0.255883558260583	0.79804075068087	44360.1533121249
A_101.scale(PC2)	0.00791232018669028	0.0146854282068618	0.538787162024546	0.590033722917827	44360.1533121249
A_101.scale(PC3)	-0.00350813516207008	0.014990046707371	-0.234030969386176	0.81496093608863	44360.1533121249
A_101.scale(PC4)	-0.0278701967054679	0.0208081196334063	-1.33939044932843	0.180443596957687	44360.1533121249
A_101.scale(PC5)	-0.173231971210253	0.0212968268824296	-8.13416816348232	4.1477645953635e-16	44360.1533121249
A_101.scale(PC6)	-0.0142710984376205	0.014820855356697	-0.962906532325874	0.335594431106983	44360.1533121249
A_101.scale(PC7)	-0.00760204526233993	0.0150882896255023	-0.503837442879602	0.614375613505676	44360.1533121249
A_101.scale(PC8)	-0.0147714666737447	0.0158961341069445	-0.929248996917525	0.352760060452119	44360.1533121249
A_101.scale(PC9)	0.203294072573995	0.0183388175544619	11.0854515003631	1.47603865708874e-28	44360.1533121249
A_101.scale(PC10)	0.0439291434287768	0.0159985678161652	2.74581724649065	0.00603603770297941	44360.1533121249
A_101.scale(N_CNV)	0.0467602400792212	0.0286663557041056	1.63118885992628	0.102850475194907	44360.1533121249
A_101.scale(LEN_CNV)	-0.0607132566747896	0.0331912021033791	-1.8291972820294	0.0673700594766437	44360.1533121249
A_201.(Intercept)	-3.58126402991656	0.0463977129971196	-77.1862188582202	0	43703.2768537466
A_201.as.factor(gcounts)1	-0.0236739396961549	0.030636814146762	-0.772728508347758	0.439683071189126	43703.2768537466
A_201.as.factor(gcounts)2	-0.0328449061890921	0.0573256191700767	-0.572953361247544	0.566676272882131	43703.2768537466
A_201.scale(age)	-0.39552204145182	0.0144146993200906	-27.438799288762	9.4517413856734e-166	43703.2768537466
A_201.sex	-17.9604394947954	73.553427361147	-0.244182224257338	0.807089693436411	43703.2768537466
A_201.Array	-0.10561575285568	0.0464569389306183	-2.27341179351944	0.0230013761063294	43703.2768537466
A_201.scale(PC1)	-0.00454688480843075	0.0153487642855121	-0.296237841942926	0.767048451371774	43703.2768537466
A_201.scale(PC2)	0.0061453911535318	0.0147990357682306	0.415256186266151	0.677954371449446	43703.2768537466
A_201.scale(PC3)	-0.00187159447964411	0.0151062720267885	-0.123895192429022	0.901398259506357	43703.2768537466
A_201.scale(PC4)	-0.0273312011951249	0.0209738459156355	-1.30310870524467	0.192537652051743	43703.2768537466
A_201.scale(PC5)	-0.170264123352248	0.0214335667348722	-7.94380727474679	1.96068151684098e-15	43703.2768537466
A_201.scale(PC6)	-0.0162635616241033	0.0149323949051681	-1.08914623055371	0.276089405817676	43703.2768537466
A_201.scale(PC7)	-0.00731072529137864	0.0152082050265569	-0.480709280195296	0.630723134555627	43703.2768537466
A_201.scale(PC8)	-0.0120901797046257	0.0160207133998334	-0.754659259103369	0.450453457505376	43703.2768537466
A_201.scale(PC9)	0.203773160587964	0.0184793364747908	11.0270821068683	2.82895045285733e-28	43703.2768537466
A_201.scale(PC10)	0.0465944757120385	0.0161246547224971	2.88964176374146	0.00385681063475378	43703.2768537466
A_201.scale(N_CNV)	0.0479920816249749	0.0288993658658402	1.66066210060695	0.0967813291225079	43703.2768537466
A_201.scale(LEN_CNV)	-0.0622281484488366	0.0336415363741594	-1.84974157412843	0.0643508053517858	43703.2768537466
A_205.(Intercept)	-3.58829011296457	0.0439582814700236	-81.6294448501478	0	44454.9310920344
A_205.as.factor(gcounts)1	0.131438899869226	0.114857398659679	1.14436598254047	0.252471889656584	44454.9310920344
A_205.as.factor(gcounts)2	-17.3772013568403	5763.99598701369	-0.00301478373614263	0.99759455424659	44454.9310920344
A_205.scale(age)	-0.395283442058707	0.0142865569936611	-27.668208808749	1.68544365222677e-168	44454.9310920344
A_205.sex	-17.9637726382559	72.9840809028659	-0.246132751362092	0.805579470850843	44454.9310920344
A_205.Array	-0.109405294365951	0.0460043835240002	-2.37814934111387	0.0173997773675935	44454.9310920344
A_205.scale(PC1)	-0.00340726397038249	0.015211727732984	-0.223989281835122	0.822765643222132	44454.9310920344
A_205.scale(PC2)	0.0081153627681922	0.0146690639869557	0.553229761313245	0.580106090220876	44454.9310920344
A_205.scale(PC3)	-0.00347862077653193	0.0149687720412208	-0.232391859997102	0.816233670668864	44454.9310920344
A_205.scale(PC4)	-0.0297340326770359	0.0207793528422281	-1.43094122818926	0.152447059774307	44454.9310920344
A_205.scale(PC5)	-0.171452943359101	0.0212591803007049	-8.06488965867683	7.33020424249689e-16	44454.9310920344
A_205.scale(PC6)	-0.0152646226816115	0.014803129851139	-1.03117535515214	0.30245859548057	44454.9310920344
A_205.scale(PC7)	-0.00807045315357346	0.0150682304973707	-0.535593954113039	0.592239208103745	44454.9310920344
A_205.scale(PC8)	-0.0142220813472744	0.0158757803045628	-0.895835106963962	0.370340836714721	44454.9310920344
A_205.scale(PC9)	0.203881404049307	0.0183189392501262	11.1295420147159	9.00972190622616e-29	44454.9310920344
A_205.scale(PC10)	0.044626414038916	0.0159801882239194	2.79260878617929	0.005228488345073	44454.9310920344
