ALL_ID	Estimate	Std. Error	z value	Pr(>|z|)	aic
A_101.(Intercept)	-3.59448032024103	0.0380934507604662	-94.3595355233982	0	70100.6971910696
A_101.as.numeric(gcounts)	0.0529637185460046	0.020876417414388	2.53701185862964	0.0111803166857232	70100.6971910696
A_101.scale(age)	0.0154201481487359	0.0119012926856907	1.29567002139827	0.195089193858648	70100.6971910696
A_101.sex	-0.569470390914823	0.0250701386476657	-22.7150874160741	3.17832066739671e-114	70100.6971910696
A_101.Array	-0.00954373043521558	0.0380495601616364	-0.250823672985268	0.801950438120022	70100.6971910696
A_101.scale(PC1)	-0.00500799852727909	0.0124765578813604	-0.401392641696544	0.688131066048516	70100.6971910696
A_101.scale(PC2)	0.00529074773983387	0.0120280837996138	0.43986621875745	0.660034003881797	70100.6971910696
A_101.scale(PC3)	-0.0115797943288325	0.0122732183148312	-0.943501046896498	0.345424680073063	70100.6971910696
A_101.scale(PC4)	0.0330495359175439	0.0171527080032063	1.92678240143575	0.054006753576694	70100.6971910696
A_101.scale(PC5)	-0.0686405510471454	0.0170786599455166	-4.01908295300209	5.84250997327966e-05	70100.6971910696
A_101.scale(PC6)	0.00407531581309032	0.0121465157541542	0.335513154189631	0.737238023587027	70100.6971910696
A_101.scale(PC7)	0.0079365587244557	0.0124293022579145	0.638536143040691	0.52312473430367	70100.6971910696
A_101.scale(PC8)	0.00430387361869443	0.0130508930812626	0.329776176380877	0.741569089792697	70100.6971910696
A_101.scale(PC9)	-0.00191696930191894	0.0122031392495338	-0.157088210067928	0.875175329224678	70100.6971910696
A_101.scale(PC10)	0.0678100284573532	0.0130307734489703	5.2038375713386	1.95214648334007e-07	70100.6971910696
A_101.scale(N_CNV)	0.0385528523858786	0.0204944017832256	1.88114065458762	0.0599527879772791	70100.6971910696
A_101.scale(LEN_CNV)	-0.0288098292742162	0.0231739565552225	-1.24319855375424	0.213794675530618	70100.6971910696
A_201.(Intercept)	-3.55083391552896	0.0386704600744642	-91.8229032882318	0	69313.1475453089
A_201.as.numeric(gcounts)	-0.0442085240802329	0.0190432652969002	-2.32147813891082	0.0202610526186989	69313.1475453089
A_201.scale(age)	0.013892283767642	0.0119620899500293	1.16135924622503	0.245495835047286	69313.1475453089
A_201.sex	-0.562290563638099	0.02518041732669	-22.3304703946308	1.86949298652383e-110	69313.1475453089
A_201.Array	-0.00775262576834556	0.038265531868558	-0.202600758169933	0.839447097357988	69313.1475453089
A_201.scale(PC1)	-0.00509573019556542	0.0125474164887907	-0.406117880929329	0.684655988120443	69313.1475453089
A_201.scale(PC2)	0.00716672487508496	0.0120946333291049	0.592554125459821	0.5534795877858	69313.1475453089
A_201.scale(PC3)	-0.0109175280793758	0.0123431465873351	-0.884501209001103	0.376425710086965	69313.1475453089
A_201.scale(PC4)	0.0340471779782144	0.0172474891337373	1.97403678380152	0.0483775605169062	69313.1475453089
A_201.scale(PC5)	-0.069231983048359	0.0171684698152845	-4.03250748571223	5.51848565876012e-05	69313.1475453089
A_201.scale(PC6)	0.00335855971775491	0.012208199778304	0.275106877241936	0.783234128098457	69313.1475453089
A_201.scale(PC7)	0.00853357755099578	0.0125018617180739	0.682584541681408	0.494869404813102	69313.1475453089
A_201.scale(PC8)	0.00369103579691577	0.0131242764804024	0.281237278293195	0.77852841406377	69313.1475453089
A_201.scale(PC9)	-0.0017434472543814	0.0122858913716511	-0.14190645201408	0.88715389792607	69313.1475453089
A_201.scale(PC10)	0.0674161403284029	0.0131011051820806	5.14583612538378	2.66331850001097e-07	69313.1475453089
A_201.scale(N_CNV)	0.0385389427239048	0.0205168059377304	1.8784085028085	0.0603253032275074	69313.1475453089
A_201.scale(LEN_CNV)	-0.028104767036315	0.0231961486878884	-1.21161350595194	0.225660362141632	69313.1475453089
A_205.(Intercept)	-3.57381762351101	0.0371170892303809	-96.2849646244834	0	70265.6855492357
A_205.as.numeric(gcounts)	0.0228129096899995	0.0967967184078931	0.235678544326967	0.81368212010632	70265.6855492357
A_205.scale(age)	0.0153761025987052	0.0118871095422058	1.29351063386028	0.195834508624566	70265.6855492357
A_205.sex	-0.565759076330369	0.0250242120628546	-22.6084671481093	3.57748253526752e-113	70265.6855492357
A_205.Array	-0.00948963513670292	0.038001550714845	-0.24971704991491	0.802806171923752	70265.6855492357
A_205.scale(PC1)	-0.00477527124675882	0.0124615852486441	-0.383199340330991	0.701571967102715	70265.6855492357
A_205.scale(PC2)	0.00604503176601201	0.0120141184466747	0.503160659922173	0.614851321216436	70265.6855492357
A_205.scale(PC3)	-0.0117125222577722	0.0122574165583617	-0.955545746691802	0.339301782622444	70265.6855492357
A_205.scale(PC4)	0.0328099353863442	0.0171311371291107	1.91522227269961	0.0554641632112751	70265.6855492357
A_205.scale(PC5)	-0.0670078035077329	0.0170529748911444	-3.92939085030438	8.51613215447857e-05	70265.6855492357
A_205.scale(PC6)	0.0030161478436957	0.0121320792557492	0.248609309262994	0.803663006801771	70265.6855492357
A_205.scale(PC7)	0.00808936888477798	0.0124146307221862	0.651599638023984	0.514659481314342	70265.6855492357
A_205.scale(PC8)	0.00439128494552068	0.0130355914097946	0.336868869809865	0.736215753398591	70265.6855492357
A_205.scale(PC9)	-0.00133034379988038	0.0121923512623342	-0.109112981676488	0.913112878479316	70265.6855492357
A_205.scale(PC10)	0.0682782935375087	0.0130156499749369	5.24586122621507	1.55553959463157e-07	70265.6855492357
A_205.scale(N_CNV)	0.0390970057922438	0.0205162260433711	1.90566265499284	0.0566939874583908	70265.6855492357
A_205.scale(LEN_CNV)	-0.0297675285732488	0.023241322260116	-1.28080185112068	0.200263273693117	70265.6855492357
A_206.(Intercept)	-3.5728724627492	0.037113672802009	-96.2683613074208	0	70236.5780039464
A_206.as.numeric(gcounts)	-0.758371772337041	0.290572261918713	-2.60992486801508	0.009056211009492	70236.5780039464
A_206.scale(age)	0.0155468242991154	0.0118886774313005	1.30770006915855	0.190975059884922	70236.5780039464
A_206.sex	-0.565830476955615	0.0250287285701763	-22.607240130841	3.67831085877537e-113	70236.5780039464
A_206.Array	-0.00810603277734528	0.0380231791845802	-0.213186612776255	0.831181409720243	70236.5780039464
A_206.scale(PC1)	-0.00460197944763541	0.0124630640862412	-0.369249441051647	0.711941806955371	70236.5780039464
A_206.scale(PC2)	0.0067932824956509	0.0120152479528081	0.56538845659554	0.571809574369027	70236.5780039464
A_206.scale(PC3)	-0.0113985611204721	0.0122584098024693	-0.929856425437498	0.352445426775877	70236.5780039464
A_206.scale(PC4)	0.0332459749670024	0.0171343719512825	1.940308933501	0.0523421563373665	70236.5780039464
A_206.scale(PC5)	-0.0671795844306941	0.0170532460498581	-3.93940157986832	8.16851030222918e-05	70236.5780039464
A_206.scale(PC6)	0.00289604516791663	0.0121347320405141	0.238657529333786	0.811371151838417	70236.5780039464
A_206.scale(PC7)	0.00795626658975687	0.0124184146016182	0.640682957124021	0.521728689264195	70236.5780039464
A_206.scale(PC8)	0.00412884892767244	0.0130385397879522	0.316664978963945	0.751497824928305	70236.5780039464
A_206.scale(PC9)	-0.00136795556472915	0.0121949341219477	-0.112174084013065	0.91068537741936	70236.5780039464
A_206.scale(PC10)	0.0687328604948581	0.013016745264999	5.28034152129223	1.28943312520411e-07	70236.5780039464
A_206.scale(N_CNV)	0.0390157491864488	0.0204981548066533	1.9033785994135	0.0569911614249773	70236.5780039464
A_206.scale(LEN_CNV)	-0.029664348737075	0.0232110627113431	-1.27802630607595	0.2012401510159	70236.5780039464
A_301.(Intercept)	-3.58726855371227	0.0377588091292347	-95.0048117628486	0	70176.5247855795
A_301.as.numeric(gcounts)	0.0474018982685777	0.0233616471416653	2.02904777994171	0.0424534239567889	70176.5247855795
A_301.scale(age)	0.0160120537161289	0.0118948172265095	1.34613701170989	0.178258334256692	70176.5247855795
A_301.sex	-0.565173781284755	0.0250372136767009	-22.5733497577925	7.92119089297281e-113	70176.5247855795
A_301.Array	-0.00986717255031509	0.0380257343592081	-0.25948670595301	0.795259737955362	70176.5247855795
A_301.scale(PC1)	-0.00494417731516794	0.0124688713714116	-0.396521639200148	0.691720247553507	70176.5247855795
A_301.scale(PC2)	0.0055333845511772	0.0120224849744879	0.460252981219707	0.645334646060736	70176.5247855795
A_301.scale(PC3)	-0.0119294247344296	0.0122644572343438	-0.972682647628635	0.330711052061413	70176.5247855795
A_301.scale(PC4)	0.0338564816589638	0.0171435221215773	1.97488482348392	0.0482812200515417	70176.5247855795
A_301.scale(PC5)	-0.0671540979654655	0.0170627471397478	-3.93571430294653	8.29496059420259e-05	70176.5247855795
A_301.scale(PC6)	0.00298347443682171	0.012139130651559	0.245773319561278	0.805857711573536	70176.5247855795
A_301.scale(PC7)	0.0081416796610584	0.0124230433864662	0.65536917225356	0.512230094655932	70176.5247855795
A_301.scale(PC8)	0.00411032424633021	0.013044278969569	0.315105515292887	0.7526815410824	70176.5247855795
A_301.scale(PC9)	-0.00165083538716687	0.0121966375264177	-0.135351680624368	0.892333825754471	70176.5247855795
A_301.scale(PC10)	0.0676086030360025	0.0130230116755036	5.19147219710898	2.08637746414533e-07	70176.5247855795
A_301.scale(N_CNV)	0.0392385025173537	0.0205017923808763	1.91390595458154	0.055632173426238	70176.5247855795
A_301.scale(LEN_CNV)	-0.0298275029704824	0.0232362392143314	-1.28366310465963	0.199259859244589	70176.5247855795
A_302.(Intercept)	-3.57314515909154	0.0370907102563382	-96.3353123840747	0	70260.8938147637
A_302.as.numeric(gcounts)	-0.121970624559248	0.269976033837325	-0.451783155806866	0.651425205481991	70260.8938147637
A_302.scale(age)	0.0152032887216389	0.0118862049499857	1.27907004679885	0.200872390356572	70260.8938147637
A_302.sex	-0.565655086697803	0.0250243539013666	-22.6041834657282	3.94199296473763e-113	70260.8938147637
A_302.Array	-0.00932000627583051	0.0380019039374992	-0.245251035083898	0.806262062421777	70260.8938147637
A_302.scale(PC1)	-0.00468818690209407	0.0124611090918847	-0.37622549225151	0.706749265201935	70260.8938147637
A_302.scale(PC2)	0.00618033428158485	0.0120140591622703	0.514425157901164	0.606954773823138	70260.8938147637
A_302.scale(PC3)	-0.0116287446807399	0.0122572307412976	-0.948725281115889	0.342760352535191	70260.8938147637
A_302.scale(PC4)	0.0329594333421999	0.0171308892338694	1.92397679374612	0.0543574923383037	70260.8938147637
A_302.scale(PC5)	-0.0675037810852952	0.0170535116419269	-3.9583507785771	7.54690673016642e-05	70260.8938147637
A_302.scale(PC6)	0.0030455390624192	0.0121320149493719	0.251033243457787	0.801788407364324	70260.8938147637
A_302.scale(PC7)	0.00805265612386031	0.0124146796815828	0.64863986267857	0.516571183344192	70260.8938147637
A_302.scale(PC8)	0.00439594488555402	0.0130360961707236	0.33721329054218	0.735956119055813	70260.8938147637
A_302.scale(PC9)	-0.00140166060105406	0.0121918218621386	-0.114967280272268	0.908471056598594	70260.8938147637
A_302.scale(PC10)	0.0683690842161115	0.0130155786877953	5.25286549726914	1.49750897222967e-07	70260.8938147637
A_302.scale(N_CNV)	0.0390742842764755	0.0205037655413741	1.90571259691925	0.0566875040468611	70260.8938147637
A_302.scale(LEN_CNV)	-0.0297493805973973	0.0232173676098361	-1.28134167048265	0.20007368237548	70260.8938147637
A_1101.(Intercept)	-3.57193852073178	0.0373914757279725	-95.528150499276	0	70125.5721930835
A_1101.as.numeric(gcounts)	-0.0349694548771032	0.0357763199424412	-0.977446951876657	0.328347928156264	70125.5721930835
A_1101.scale(age)	0.0157210907298654	0.011899298625578	1.32117793027501	0.186442043277944	70125.5721930835
A_1101.sex	-0.564271323771072	0.0250455640651953	-22.5297909962113	2.11953969559963e-112	70125.5721930835
A_1101.Array	-0.00794275184207047	0.0380688921539191	-0.208641528362752	0.834728089003708	70125.5721930835
A_1101.scale(PC1)	-0.00467967482408115	0.012474230642613	-0.375147370459464	0.707550868771306	70125.5721930835
A_1101.scale(PC2)	0.00610721204592069	0.0120277090232106	0.507761871702684	0.611620352048141	70125.5721930835
A_1101.scale(PC3)	-0.0112959375027184	0.0122703771490397	-0.920586006894044	0.357266610632367	70125.5721930835
A_1101.scale(PC4)	0.0335628414033115	0.017148793979912	1.95715462222165	0.0503292920711386	70125.5721930835
A_1101.scale(PC5)	-0.0666097999958735	0.0170653998815735	-3.90320768678827	9.49261796653968e-05	70125.5721930835
A_1101.scale(PC6)	0.00301216744260674	0.0121453270208704	0.248010402472545	0.804126358196663	70125.5721930835
A_1101.scale(PC7)	0.00746523436935366	0.0124277376318937	0.600691339845751	0.548045588191475	70125.5721930835
A_1101.scale(PC8)	0.00496913400221344	0.0130490590325041	0.380804009686502	0.703348683750024	70125.5721930835
A_1101.scale(PC9)	0.000309893770121396	0.0122205632456182	0.0253583868347895	0.979769102919808	70125.5721930835
A_1101.scale(PC10)	0.0684965932666449	0.0130281212235624	5.25759563418581	1.45951000004674e-07	70125.5721930835
A_1101.scale(N_CNV)	0.0389179841520865	0.020529134664719	1.89574401394377	0.0579939022209469	70125.5721930835
A_1101.scale(LEN_CNV)	-0.0294887939617514	0.0232259174732827	-1.26965033763136	0.204209210226734	70125.5721930835
A_2301.(Intercept)	-3.57361984883005	0.0371729275065691	-96.1350124549252	0	70265.9207022227
A_2301.as.numeric(gcounts)	-0.0298607442248091	0.0656568930759836	-0.454799836328712	0.64925324801863	70265.9207022227
A_2301.scale(age)	0.0153188161470602	0.0118864241183345	1.28876573766465	0.197479540762835	70265.9207022227
A_2301.sex	-0.566304864685348	0.0250267129969708	-22.62801610239	2.2970723598794e-113	70265.9207022227
A_2301.Array	-0.00810375803902089	0.038021976717037	-0.213133527994344	0.831222813837793	70265.9207022227
A_2301.scale(PC1)	-0.00462708844778151	0.0124611001774951	-0.37132262656375	0.710397247174098	70265.9207022227
A_2301.scale(PC2)	0.00606348447505034	0.0120138521392856	0.504707766064691	0.613764105642552	70265.9207022227
A_2301.scale(PC3)	-0.0115974321292029	0.0122567602871242	-0.946206979456562	0.344043026989945	70265.9207022227
A_2301.scale(PC4)	0.0325476630726736	0.0171300877391276	1.90002897640332	0.0574293171160536	70265.9207022227
A_2301.scale(PC5)	-0.0669421866537149	0.0170520139172503	-3.92576425157584	8.64547990633048e-05	70265.9207022227
A_2301.scale(PC6)	0.0029463085907532	0.0121325707770222	0.242842893307756	0.808127105894504	70265.9207022227
A_2301.scale(PC7)	0.00810148415789382	0.0124144298735106	0.652586082521634	0.514023160324624	70265.9207022227
A_2301.scale(PC8)	0.00458371691818115	0.0130353498436115	0.351637430001742	0.725110190656614	70265.9207022227
A_2301.scale(PC9)	-0.00125812591663774	0.0121940290619232	-0.103175571441463	0.917823627590059	70265.9207022227
A_2301.scale(PC10)	0.0682734903285599	0.0130150533535921	5.24573265077831	1.55662491158387e-07	70265.9207022227
A_2301.scale(N_CNV)	0.0391760591144916	0.0205048361955657	1.910576545984	0.0560590208139953	70265.9207022227
A_2301.scale(LEN_CNV)	-0.0298554655721118	0.0232248027003831	-1.2854992120824	0.198617891897561	70265.9207022227
A_2402.(Intercept)	-3.57453194305036	0.0375150250508979	-95.2826750935304	0	69763.8232823984
A_2402.as.numeric(gcounts)	0.00122248217137969	0.0326107574109379	0.0374870830497687	0.970096639141812	69763.8232823984
A_2402.scale(age)	0.0150694061696299	0.0119300704964984	1.26314477136182	0.206537156587351	69763.8232823984
A_2402.sex	-0.564298817821792	0.0251048325020134	-22.4776969842972	6.86073857456891e-112	69763.8232823984
A_2402.Array	-0.00877790555455949	0.0381439981571563	-0.230125471336115	0.817994272721618	69763.8232823984
A_2402.scale(PC1)	-0.00463347048525883	0.0125044766864876	-0.370544933740874	0.710976503050437	69763.8232823984
A_2402.scale(PC2)	0.00729966760770255	0.0120583131801841	0.605363909414658	0.5449372256931	69763.8232823984
A_2402.scale(PC3)	-0.0120237214089269	0.0122998338076773	-0.977551534185932	0.328296177833339	69763.8232823984
A_2402.scale(PC4)	0.0345155307586378	0.0171959961116584	2.00718414533935	0.0447300591578505	69763.8232823984
A_2402.scale(PC5)	-0.067730572234136	0.017115420298088	-3.95728361059893	7.5806906425959e-05	69763.8232823984
A_2402.scale(PC6)	0.00350976621307397	0.0121742437034756	0.288294394178421	0.773121397882933	69763.8232823984
A_2402.scale(PC7)	0.0107584945570261	0.0124657165808289	0.863046619684233	0.388111835324523	69763.8232823984
A_2402.scale(PC8)	0.00405122873618232	0.013085895910858	0.309587418681883	0.756874724993422	69763.8232823984
A_2402.scale(PC9)	-0.00154503482413241	0.0122252028847753	-0.126381119290586	0.899430246933223	69763.8232823984
A_2402.scale(PC10)	0.0699962737035456	0.0130616648471714	5.35890903055162	8.37259972332507e-08	69763.8232823984
A_2402.scale(N_CNV)	0.039959475935814	0.0206725967864168	1.93296838073433	0.0532400930646666	69763.8232823984
A_2402.scale(LEN_CNV)	-0.0313829260610779	0.0235061426995743	-1.33509467981092	0.181845360504865	69763.8232823984
A_2501.(Intercept)	-3.56883380449603	0.0372194778779569	-95.8861866949955	0	69819.7312125436
A_2501.as.numeric(gcounts)	-0.0395023442281256	0.0713531076979707	-0.553617712004001	0.579840501759585	69819.7312125436
A_2501.scale(age)	0.014643810449182	0.0119229349231851	1.22820518131873	0.219369954169875	69819.7312125436
A_2501.sex	-0.56545521940364	0.025102699707876	-22.5256735723221	2.32597015162826e-112	69819.7312125436
A_2501.Array	-0.0131520300882421	0.038080806042591	-0.345371630882298	0.729815001832219	69819.7312125436
A_2501.scale(PC1)	-0.00554535042281898	0.0125007862774503	-0.443600130403158	0.657331711444117	69819.7312125436
