ALL_ID	Estimate	Std. Error	z value	Pr(>|z|)	aic
A_101.(Intercept)	-4.68462048262256	0.0471934721255216	-99.2641624282859	0	49531.8036100165
A_101.as.factor(gcounts)1	-0.0313112014036634	0.0316932423288254	-0.987945666107673	0.323179258852159	49531.8036100165
A_101.as.factor(gcounts)2	0.0325642978273392	0.075457837699137	0.431556201718614	0.666063996859386	49531.8036100165
A_101.scale(age)	0.0797632256938022	0.0146557953752647	5.44243581814893	5.25568993401577e-08	49531.8036100165
A_101.sex	1.08302942334249	0.032041208774928	33.8011412412741	1.89750405959791e-250	49531.8036100165
A_101.Array	-0.201399437367405	0.0422312046730887	-4.76897211259863	1.85168288647862e-06	49531.8036100165
A_101.scale(PC1)	0.023416844221813	0.0152581368662368	1.53471190008983	0.124854611443817	49531.8036100165
A_101.scale(PC2)	-0.0308630366761084	0.0147213434026342	-2.0964823543608	0.0360394236283038	49531.8036100165
A_101.scale(PC3)	-0.00652053174471028	0.0150476882689441	-0.433324483347224	0.664779053729795	49531.8036100165
A_101.scale(PC4)	0.0145588214947332	0.0208593015466511	0.697953450750633	0.485206305579375	49531.8036100165
A_101.scale(PC5)	0.0145131334012577	0.0205306766920669	0.706899904905017	0.479628683087174	49531.8036100165
A_101.scale(PC6)	0.00191966240299142	0.0149017770900467	0.128821038684951	0.897499257774056	49531.8036100165
A_101.scale(PC7)	0.00922861384911977	0.0152042387885465	0.606976381880543	0.543866586175204	49531.8036100165
A_101.scale(PC8)	0.00637276460260358	0.0159478840864061	0.399599380587152	0.689451612749817	49531.8036100165
A_101.scale(PC9)	0.018457058974663	0.0155048120007295	1.19040843409095	0.233885899713798	49531.8036100165
A_101.scale(PC10)	-0.0291552140141437	0.0160537111804859	-1.81610430674643	0.0693543731984851	49531.8036100165
A_101.scale(N_CNV)	0.0023738006224956	0.0239083169418329	0.0992876507481005	0.920909883242076	49531.8036100165
A_101.scale(LEN_CNV)	0.0136706523616735	0.0237501725745916	0.575602232730663	0.5648840715635	49531.8036100165
A_201.(Intercept)	-4.7029933636316	0.0484695195049896	-97.0299151232036	0	48891.3729273071
A_201.as.factor(gcounts)1	-0.0316908769951822	0.0307573106779914	-1.03035266402075	0.30284448544463	48891.3729273071
A_201.as.factor(gcounts)2	0.0744851741294939	0.0552858399230097	1.34727398974531	0.177892005924454	48891.3729273071
A_201.scale(age)	0.0776882845687956	0.0147378900501598	5.27133017714114	1.35438569979451e-07	48891.3729273071
A_201.sex	1.09142505888143	0.0322902250116501	33.8004785809841	1.94052274880301e-250	48891.3729273071
A_201.Array	-0.187038647108577	0.0427052727585295	-4.37975535635046	1.18812620278091e-05	48891.3729273071
