ALL_ID	Estimate	Std. Error	z value	Pr(>|z|)	aic
A_101.(Intercept)	-2.68371001482006	0.0263971193526596	-101.66677579346	0	129506.304659185
A_101.as.factor(gcounts)1	0.045073040422513	0.0172492668630032	2.61304093562302	0.00897405527620873	129506.304659185
A_101.as.factor(gcounts)2	0.114493166069909	0.0408488453148146	2.80284950988287	0.00506532988806046	129506.304659185
A_101.scale(age)	-0.156784168700373	0.00786094932793437	-19.9446863425555	1.66692254807545e-88	129506.304659185
A_101.sex	-0.991974251066739	0.0182140279097826	-54.4621022862252	0	129506.304659185
A_101.Array	0.0641904320960329	0.0264921588408992	2.42299740393124	0.0153930366829763	129506.304659185
A_101.scale(PC1)	-0.0196710946346783	0.00840633058636592	-2.34003343463348	0.0192820136227699	129506.304659185
A_101.scale(PC2)	-0.00427573263641939	0.00810156901984511	-0.52776599519745	0.597661761545915	129506.304659185
A_101.scale(PC3)	-0.00566425619041955	0.00827140339575825	-0.68479989663233	0.493470200604523	129506.304659185
A_101.scale(PC4)	-0.0151125082347621	0.0114845120193451	-1.31590338442816	0.188206472676551	129506.304659185
A_101.scale(PC5)	0.0134796160475059	0.0113455319664241	1.18809907612948	0.234794378301335	129506.304659185
A_101.scale(PC6)	-0.00968885942141209	0.00819143008803216	-1.18280438425126	0.236886682622732	129506.304659185
A_101.scale(PC7)	-0.00543406565787912	0.00834796403750865	-0.65094502485433	0.515081975334286	129506.304659185
A_101.scale(PC8)	-0.0120110642897227	0.00879026383200639	-1.36640543665925	0.171811743325706	129506.304659185
A_101.scale(PC9)	-0.0358972757872033	0.00808096998461772	-4.4421988765624	8.90441993636928e-06	129506.304659185
A_101.scale(PC10)	0.0135292872615423	0.00883258540903727	1.53174711989759	0.125584849767348	129506.304659185
A_101.scale(N_CNV)	-0.00756970418596206	0.0143896929492656	-0.526050431558958	0.598853167525211	129506.304659185
A_101.scale(LEN_CNV)	0.0119009912157236	0.0141469572339927	0.841240347226579	0.400213301527156	129506.304659185
A_201.(Intercept)	-2.65081244628254	0.0268955543931068	-98.5595019733791	0	127771.039426948
A_201.as.factor(gcounts)1	-0.0262814506249314	0.0168784825102103	-1.55709795646812	0.119447230158643	127771.039426948
A_201.as.factor(gcounts)2	-0.0037809598502152	0.0312866389504879	-0.120849026199289	0.903810617346316	127771.039426948
A_201.scale(age)	-0.158042885625872	0.00791288532753436	-19.9728517581232	9.48785943242871e-89	127771.039426948
A_201.sex	-0.993929566567012	0.0183464573289974	-54.1755581877959	0	127771.039426948
A_201.Array	0.0612454357421746	0.0266340327153962	2.29951792868268	0.0214755464935864	127771.039426948
A_201.scale(PC1)	-0.0199499848358951	0.00846414696020541	-2.3569988717931	0.018423302832197	127771.039426948
A_201.scale(PC2)	-0.00604853269447704	0.00815556240062261	-0.74164507576023	0.458302405400098	127771.039426948
A_201.scale(PC3)	-0.00627407417720238	0.0083278846778667	-0.753381491205948	0.451220701801632	127771.039426948
A_201.scale(PC4)	-0.0137665602888922	0.0115617045637904	-1.19070334421163	0.233770064614666	127771.039426948
A_201.scale(PC5)	0.0132729124142082	0.0114167078902749	1.16258667049846	0.244997241486005	127771.039426948
A_201.scale(PC6)	-0.00955602468545525	0.0082434770844492	-1.15922256925807	0.246365474148936	127771.039426948
A_201.scale(PC7)	-0.00519040198559555	0.00840626571221975	-0.617444435291943	0.53694162055399	127771.039426948
A_201.scale(PC8)	-0.0136634097124648	0.00885064541994468	-1.54377551739614	0.12264272435332	127771.039426948
A_201.scale(PC9)	-0.035516730995704	0.00814819613468353	-4.35884586092912	1.30750159927083e-05	127771.039426948
A_201.scale(PC10)	0.0126275718984279	0.00889156667177795	1.42017401033589	0.155557027985334	127771.039426948
A_201.scale(N_CNV)	-0.00616897976561117	0.0144897411817179	-0.425748099172037	0.670291409345388	127771.039426948
A_201.scale(LEN_CNV)	0.0103401580520911	0.0143314062556135	0.721503379896227	0.470599861903221	127771.039426948
