ALL_ID	Estimate	Std. Error	z value	Pr(>|z|)	aic
A_101.(Intercept)	-5.7504489475379	0.0921003223478672	-62.4367950181346	0	15498.3884024111
A_101.as.numeric(gcounts)	0.365337862246616	0.0475870235992481	7.67725809715041	1.62529764940446e-14	15498.3884024111
A_101.scale(age)	0.0599228924427371	0.0296986436741293	2.01769794945001	0.0436227285281247	15498.3884024111
A_101.sex	0.0754294726492876	0.0587518035678214	1.28386650398254	0.199188669144374	15498.3884024111
A_101.Array	-0.138374487951924	0.0887465408210138	-1.55920993282432	0.11894670067525	15498.3884024111
A_101.scale(PC1)	-0.0138790912838179	0.0309596228166628	-0.448296523701448	0.653939209157673	15498.3884024111
A_101.scale(PC2)	0.0439166738933766	0.0298845072414506	1.469546529195	0.141684611197836	15498.3884024111
A_101.scale(PC3)	-0.0282476042219601	0.0304962484218418	-0.926264891052267	0.354308336804543	15498.3884024111
A_101.scale(PC4)	-0.0270865610044763	0.0423747284423899	-0.639214975531975	0.522683091223981	15498.3884024111
A_101.scale(PC5)	0.0374970569730925	0.0417329411335846	0.898500224392685	0.368918925632409	15498.3884024111
A_101.scale(PC6)	0.0204197665322837	0.0301975275212425	0.676206570816746	0.498909501298921	15498.3884024111
A_101.scale(PC7)	0.0406182323664489	0.0309033149227181	1.3143648980061	0.18872343716472	15498.3884024111
A_101.scale(PC8)	-0.0186486685065028	0.0325213550694191	-0.573428397023924	0.566354667629824	15498.3884024111
A_101.scale(PC9)	-0.0608010513369917	0.0292688648975643	-2.07732864085383	0.0377712373765767	15498.3884024111
A_101.scale(PC10)	-0.0759842531931512	0.0326081463840916	-2.33022301538187	0.0197943671548081	15498.3884024111
A_101.scale(N_CNV)	-0.123782209157342	0.0691331174277655	-1.79049077725559	0.0733750485871841	15498.3884024111
A_101.scale(LEN_CNV)	0.0775723134788956	0.042545825451062	1.82326497738591	0.0682632679976324	15498.3884024111
A_201.(Intercept)	-5.49471831111746	0.0920820559740552	-59.671976836243	0	15305.8183583214
A_201.as.numeric(gcounts)	-0.161745889090756	0.048814362177011	-3.31348975746589	0.000921394817948245	15305.8183583214
A_201.scale(age)	0.0619436299671788	0.0299423899562298	2.06876037810371	0.0385685782182963	15305.8183583214
A_201.sex	0.0750696626444059	0.0592066499265487	1.2679261998025	0.204824306798434	15305.8183583214
A_201.Array	-0.150122521253512	0.0890978465298037	-1.68491750474906	0.0920044887979411	15305.8183583214
A_201.scale(PC1)	-0.0201318343411873	0.0312205192832932	-0.644827017722293	0.519039291286432	15305.8183583214
A_201.scale(PC2)	0.0373385075312509	0.030114472962049	1.23988580435413	0.215017635204223	15305.8183583214
A_201.scale(PC3)	-0.0277264056336593	0.0307426708550616	-0.901886689168205	0.367117062928931	15305.8183583214
A_201.scale(PC4)	-0.0241520851560755	0.0427096407639239	-0.565494926299553	0.571737174320537	15305.8183583214
A_201.scale(PC5)	0.0391029915032704	0.0420751252688009	0.929361261635165	0.352701896588116	15305.8183583214
A_201.scale(PC6)	0.0168810140932976	0.0304283729670983	0.554778729429629	0.579046017824785	15305.8183583214
A_201.scale(PC7)	0.0498636388343399	0.0311659609320868	1.59993907914461	0.109612098842053	15305.8183583214
A_201.scale(PC8)	-0.00778548235498726	0.0327659671425855	-0.237608806756953	0.812184519316734	15305.8183583214
A_201.scale(PC9)	-0.0642495796159209	0.0293942125398983	-2.18579012888035	0.0288309632843977	15305.8183583214
A_201.scale(PC10)	-0.0741813535950401	0.0328761126942892	-2.25639065922553	0.0240461761091662	15305.8183583214
A_201.scale(N_CNV)	-0.119641032929809	0.0674607231414881	-1.77349170537175	0.0761472651292071	15305.8183583214
A_201.scale(LEN_CNV)	0.0788819245187571	0.0419485051740692	1.88044661404332	0.0600472357234334	15305.8183583214
A_205.(Intercept)	-5.58803454071354	0.0887739629937165	-62.9467734938123	0	15556.087526805
A_205.as.numeric(gcounts)	0.151021123349714	0.224898923811258	0.67150665192358	0.501897823312357	15556.087526805
A_205.scale(age)	0.0589948947966958	0.0296978968921028	1.98650076168806	0.0469777483426366	15556.087526805
A_205.sex	0.0761285841902956	0.0587471493735853	1.29586856557376	0.195020770707157	15556.087526805
A_205.Array	-0.141162252094739	0.0887349871696843	-1.59082968958795	0.111647909351063	15556.087526805
A_205.scale(PC1)	-0.0146893366002176	0.0309645108869327	-0.474392657253844	0.635219928206482	15556.087526805
A_205.scale(PC2)	0.0436550525782	0.0298818405459585	1.4609224793586	0.144036716777219	15556.087526805
A_205.scale(PC3)	-0.0292554811433077	0.0304912177879032	-0.959472374859172	0.337320829947171	15556.087526805
A_205.scale(PC4)	-0.0247493782609626	0.0423591964381011	-0.584274026470935	0.559035964028475	15556.087526805
A_205.scale(PC5)	0.0458551303580247	0.0417197381114138	1.09912315929614	0.271714349460638	15556.087526805
A_205.scale(PC6)	0.019079099979201	0.030207056305745	0.631610700032773	0.527641292992597	15556.087526805
A_205.scale(PC7)	0.041324508458996	0.0309126319371634	1.33681624207854	0.181282626137643	15556.087526805
A_205.scale(PC8)	-0.0193733978226974	0.0325241274551903	-0.595662338655783	0.551400822474306	15556.087526805
A_205.scale(PC9)	-0.0593000199949717	0.0293013733200654	-2.02379661005047	0.0429910831703573	15556.087526805
A_205.scale(PC10)	-0.0755993390535863	0.0326240689208246	-2.31728725307252	0.0204880892134728	15556.087526805
A_205.scale(N_CNV)	-0.121749109982158	0.0686804692275839	-1.77268896603956	0.0762802604677989	15556.087526805
A_205.scale(LEN_CNV)	0.0759296885062907	0.0421847762667851	1.79993104683301	0.0718715266284385	15556.087526805
A_206.(Intercept)	-5.58547052428262	0.088705498556211	-62.9664520823724	0	15555.7934030387
A_206.as.numeric(gcounts)	0.000344985972390992	0.50180430371722	0.000687491059433799	0.999451461541198	15555.7934030387
A_206.scale(age)	0.0590280611178009	0.0296964346034322	1.98771542463143	0.0468431720262649	15555.7934030387
A_206.sex	0.0761280683035633	0.0587472955237534	1.2958565602868	0.195024907521005	15555.7934030387
A_206.Array	-0.141006725035659	0.0887346698785247	-1.58908265764321	0.112041732567795	15555.7934030387
