,DQA1_101,DPB1_401,DQB1_201,C_304,DRB4_101,DRB4_103,DRB1_301,DQB1_603,DQB1_602,B_2705,DRB1_401,DRB1_404,C_602,B_4403,DRB1_1301,DRB3_202,DRB3_101,DQB1_301,DQB1_302,DQB1_303,A_101,DQA1_301,C_202,DRB1_701,B_5701,C_102,C_401,DRB3_9901,DPA1_103,DQA1_501,DRB5_9901,DRB5_101,B_801,DQA1_201,DRB4_9901,A_301,B_702,C_1601,DRB1_101,DQA1_103,DQA1_102,DRB1_1501,DQB1_501,DPA1_201,C_701,C_702,B_4001,DPB1_101
HC382,-0.12503,,,,,-0.04315,,-0.07485,,,0.12665,,,,,,,0.0,,,,0.05769,,,,,,,,,,,,,-0.01895,,,,0.0,-0.09092,,,0.0,,,,,
HC91,,,,,,0.0,,,,0.909,,,0.7912,,,,,,,0.155,,,,0.0,0.2618,0.0,,,,,,,,0.0,,,,,,,,,,,,,,
HC310,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,-0.047798,,,,,,,,,,,,-0.003039,,,
HC169,-0.2872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC78,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,0.132974,,,,,,0.0,,,,-0.001628,,,0.0,,,,,,0.0,-0.001973,,,,,,
HC269,0.020553,,,,,,,,0.0,,,,,,,,,,,,,,,,0.009776,,,,,,0.0,0.0,,,,,-0.049954,,0.007559,,,0.0,0.018567,,,0.0,,
HC261,,,,,-0.123048,,,,,,0.018463,,0.0,,,,,0.005703,,0.0,,0.049132,,-0.003543,-0.211597,,,,,,,,,-0.0125,,,,,,,,,,,,,,
HC321,,,0.0,,,,0.0,,,,,,,,-0.761,,0.0,,,,0.0,,,,,,,,,0.0,,,0.5969,,,,,,,,,,,,0.0,,,
HC219,,,0.228611,,,,0.006314,,0.0,,,,,,,,,0.182361,,,,0.13749,,,,,,,,0.0,,0.0,0.026795,,,,,,,,-0.098843,0.0,,,,,,
HC215,,,,,,,,,-0.0083208,,,,,,,,,,,,,,,,,,,,,,0.0009062,-0.0028231,,,,,-0.0091725,,,,,-0.0027175,,,,-0.0033724,,
